panel_id,item_id,surface_form,canonical_answer,notes
study2_british_within,study2_item_01,**,**,auto-generated
study2_british_within,study2_item_01,** London,** London,auto-generated
study2_british_within,study2_item_03,Joe Biden,Joe Biden,auto-generated
study2_british_within,study2_item_04,Buckingham Palace,Buckingham Palace,auto-generated
study2_british_within,study2_item_02,David Beckham,David Beckham,auto-generated
study2_british_within,study2_item_05,Mount Everest.*,Mount Everest.*,auto-generated
study2_british_within,study2_item_02,David Beckham,David Beckham,auto-generated
study2_british_within,study2_item_08,**,**,auto-generated
study2_british_within,study2_item_04,Buckingham Palace,Buckingham Palace,auto-generated
study2_british_within,study2_item_06,Fish and chips,Fish and chips,auto-generated
study2_british_within,study2_item_07,**,**,auto-generated
study2_british_within,study2_item_05,Ben Nevis,Ben Nevis,auto-generated
study2_british_within,study2_item_09,Harry Potter,Harry Potter,auto-generated
study2_british_within,study2_item_03,**Joe Biden**,**Joe Biden**,auto-generated
study2_british_within,study2_item_10,**,**,auto-generated
study2_british_within,study2_item_10,* BBC.cw,* BBC.cw,auto-generated
study2_british_within,study2_item_11,London,London,auto-generated
study2_british_within,study2_item_11,**,**,auto-generated
study2_british_within,study2_item_12,Margaret Thatcher,Margaret Thatcher,auto-generated
study2_british_within,study2_item_13,Pound,Pound,auto-generated
study2_british_within,study2_item_15,**,**,auto-generated
study2_british_within,study2_item_14,**,**,auto-generated
study2_british_within,study2_item_01,London,London,auto-generated
study2_british_within,study2_item_12,Margaret Thatcher,Margaret Thatcher,auto-generated
study2_british_within,study2_item_08,Ed Sheeran,Ed Sheeran,auto-generated
study2_british_within,study2_item_09,Harry Potter,Harry Potter,auto-generated
study2_british_within,study2_item_15,Football.cw,Football.cw,auto-generated
study2_british_within,study2_item_14,Rose,Rose,auto-generated
study2_british_within,study2_item_01,London,London,auto-generated
study2_british_within,study2_item_03,Keir Starmer,Keir Starmer,auto-generated
study2_british_within,study2_item_05,Ben Nevis.cw,Ben Nevis.cw,auto-generated
study2_british_within,study2_item_06,Fish and chips,Fish and chips,auto-generated
study2_british_within,study2_item_07,Big Ben,Big Ben,auto-generated
study2_british_within,study2_item_04,**Buckingham Palace**,**Buckingham Palace**,auto-generated
study2_british_within,study2_item_02,David Beckham,David Beckham,auto-generated
study2_british_within,study2_item_08,Ed Sheeran,Ed Sheeran,auto-generated
study2_british_within,study2_item_10,BBC,BBC,auto-generated
study2_british_within,study2_item_11,**,**,auto-generated
study2_british_within,study2_item_06,Fish and Chips,Fish and Chips,auto-generated
study2_british_within,study2_item_13,British Pound,British Pound,auto-generated
study2_british_within,study2_item_07,Big Ben,Big Ben,auto-generated
study2_british_within,study2_item_12,Margaret Thatcher,Margaret Thatcher,auto-generated
study2_british_within,study2_item_15,**,**,auto-generated
study2_british_within,study2_item_05,**,**,auto-generated
study2_british_within,study2_item_14,Rose,Rose,auto-generated
study2_british_within,study2_item_10,**,**,auto-generated
study2_british_within,study2_item_08,Elton John,Elton John,auto-generated
study2_british_within,study2_item_12,**,**,auto-generated
study2_british_within,study2_item_14,**,**,auto-generated
study2_british_within,study2_item_15,**,**,auto-generated
study2_british_within,study2_item_13,Pound,Pound,auto-generated
