Baseline model,Item,Item #,R1 JSD,R2 JSD,Delta JSD,R1 Top1 match,R2 Top1 match,R1 Flip,R2 Flip,EN succ,ZH succ
K2.6-code-preview,study2_item_04,4,0.5149577839754269,0.0,-0.5149577839754269,0,1,1.0,0.0,10.0,10.0
MiniMax-M2.7-highspeed,study2_item_09,9,0.0574926887685672,0.0,-0.0574926887685672,0,1,1.0,0.0,10.0,10.0
MiniMax-M2.7-highspeed,study2_item_11,11,0.4457490144528159,0.2364527976600279,-0.20929621679278798,0,1,1.0,0.0,10.0,10.0
MiniMax-M2.7,study2_item_11,11,0.3369778898796121,0.0143784604780786,-0.32259942940153347,0,1,1.0,0.0,10.0,10.0
gemini-2.5-flash,study2_item_11,11,0.49768066742656,0.0518991603213155,-0.44578150710524445,0,1,1.0,0.0,10.0,10.0
gemini-2.5-flash,study2_item_12,12,0.2276177058178257,0.0,-0.2276177058178257,0,1,1.0,0.0,10.0,10.0
glm-4-airx,study2_item_04,4,0.7261533520592253,0.0518991603213155,-0.6742541917379098,0,1,1.0,0.0,10.0,10.0
glm-4-airx,study2_item_05,5,0.1189294018528895,0.0,-0.1189294018528895,0,1,1.0,0.0,10.0,10.0
glm-4-flashx-250414,study2_item_02,2,0.496040092889972,0.0,-0.496040092889972,0,1,1.0,0.0,10.0,10.0
glm-4-flashx-250414,study2_item_11,11,0.9289911704818996,0.1691948551010541,-0.7597963153808456,0,1,1.0,0.0,10.0,10.0
gpt-4o-mini,study2_item_02,2,0.414152447264707,0.0,-0.414152447264707,0,1,1.0,0.0,10.0,10.0
gpt-5.4-mini,study2_item_02,2,0.3437754167980626,0.0,-0.3437754167980626,0,1,1.0,0.0,10.0,10.0
gpt-5.4-mini,study2_item_04,4,0.3761088174201359,0.0,-0.3761088174201359,0,1,1.0,0.0,10.0,10.0
gpt-5.4 (main),study2_item_04,4,1.0,0.0,-1.0,0,1,1.0,0.0,10.0,10.0
gpt-5.4 (main),study2_item_08,8,0.9289911704818996,0.0518991603213155,-0.8770920101605841,0,1,1.0,0.0,10.0,10.0
gpt-5.4 (main),study2_item_11,11,0.8336791289905013,0.1691948551010541,-0.6644842738894472,0,1,1.0,0.0,10.0,10.0
gpt-5.4 (round2-upload),study2_item_04,4,0.715153158564267,0.0,-0.715153158564267,0,1,1.0,0.0,10.0,10.0
kimi-for-coding,study2_item_09,9,0.253184764193558,0.0,-0.253184764193558,0,1,1.0,0.0,10.0,10.0
kimi-for-coding,study2_item_11,11,0.4858265387806776,0.2364527976600279,-0.2493737411206497,0,1,1.0,0.0,10.0,10.0
mimo-v2-omni,study2_item_11,11,0.2020096406957233,0.0143784604780786,-0.1876311802176447,0,1,1.0,0.0,10.0,10.0
qwen3.5-plus,study2_item_04,4,1.0,0.0518991603213155,-0.9481008396786845,0,1,1.0,0.0,10.0,10.0
qwen3.5-plus,study2_item_09,9,0.265220736549466,0.0,-0.265220736549466,0,1,1.0,0.0,10.0,10.0
qwen3.5-plus,study2_item_11,11,0.6364619458936842,0.1080315461456001,-0.5284303997480841,0,1,1.0,0.0,10.0,10.0
qwen3.6-plus,study2_item_09,9,0.1094241396946089,0.0,-0.1094241396946089,0,1,1.0,0.0,10.0,10.0
qwen3.6-plus,study2_item_11,11,0.2958073480446818,0.2364527976600279,-0.05935455038465387,0,1,1.0,0.0,10.0,10.0
