Model,Item,Item #,Consensus bucket,Human top1 p,R1 JSD,R1 TVD,R1 Top1 match,R1 Flip,R1 Spearman,EN succ,ZH succ
K2.6-code-preview,study2_item_01,1,high,0.9,0.0,0.0,1,0.0,,50.0,50.0
K2.6-code-preview,study2_item_02,2,low,0.3,0.0,0.0,1,0.0,,50.0,50.0
K2.6-code-preview,study2_item_03,3,medium,0.36,0.0100728646250009,0.02,1,0.0,,50.0,50.0
K2.6-code-preview,study2_item_04,4,low,0.24,0.5149577839754269,0.72,0,1.0,0.0,50.0,50.0
K2.6-code-preview,study2_item_05,5,medium,0.64,0.1231832464859631,0.3,1,0.0,1.0,50.0,50.0
K2.6-code-preview,study2_item_06,6,medium,0.44,0.0,0.0,1,0.0,,50.0,50.0
K2.6-code-preview,study2_item_07,7,low,0.28,0.0,0.0,1,0.0,,49.0,50.0
K2.6-code-preview,study2_item_08,8,low,0.33,0.0,0.0,1,0.0,,50.0,50.0
K2.6-code-preview,study2_item_09,9,medium,0.48,0.2747831599153526,0.42,1,0.0,0.3999999999999999,50.0,50.0
K2.6-code-preview,study2_item_10,10,high,0.92,0.0,0.0,1,0.0,,50.0,50.0
K2.6-code-preview,study2_item_11,11,medium,0.56,0.0,0.0,1,0.0,,49.0,50.0
K2.6-code-preview,study2_item_12,12,low,0.3,0.1318407255951033,0.24,1,0.0,,49.0,50.0
K2.6-code-preview,study2_item_13,13,high,0.83,0.0,0.0,1,0.0,,50.0,50.0
K2.6-code-preview,study2_item_14,14,high,0.74,0.0,0.0,1,0.0,,49.0,50.0
K2.6-code-preview,study2_item_15,15,high,0.88,0.0,0.0,1,0.0,,50.0,50.0
MiniMax-M2.7-highspeed,study2_item_01,1,high,0.9,0.0,0.0,1,0.0,,50.0,50.0
MiniMax-M2.7-highspeed,study2_item_02,2,low,0.3,0.02,0.02,1,0.0,0.5,50.0,50.0
MiniMax-M2.7-highspeed,study2_item_03,3,medium,0.36,0.1173106156879593,0.24,1,0.0,0.4918693768379647,50.0,50.0
MiniMax-M2.7-highspeed,study2_item_04,4,low,0.24,0.0,0.0,1,0.0,,50.0,50.0
MiniMax-M2.7-highspeed,study2_item_05,5,medium,0.64,0.0682316394499365,0.18,1,0.0,,50.0,50.0
MiniMax-M2.7-highspeed,study2_item_06,6,medium,0.44,0.0,0.0,1,0.0,,50.0,50.0
MiniMax-M2.7-highspeed,study2_item_07,7,low,0.28,0.0,0.0,1,0.0,,50.0,50.0
MiniMax-M2.7-highspeed,study2_item_08,8,low,0.33,0.0211133010313683,0.04,1,0.0,1.0,50.0,50.0
MiniMax-M2.7-highspeed,study2_item_09,9,medium,0.48,0.0574926887685672,0.26,0,1.0,0.5,50.0,50.0
MiniMax-M2.7-highspeed,study2_item_10,10,high,0.92,0.0,0.0,1,0.0,,50.0,50.0
MiniMax-M2.7-highspeed,study2_item_11,11,medium,0.56,0.4457490144528159,0.74,0,1.0,,50.0,50.0
MiniMax-M2.7-highspeed,study2_item_12,12,low,0.3,0.0100728646250009,0.02,1,0.0,,50.0,50.0
MiniMax-M2.7-highspeed,study2_item_13,13,high,0.83,0.0,0.0,1,0.0,,50.0,50.0
MiniMax-M2.7-highspeed,study2_item_14,14,high,0.74,0.0,0.0,1,0.0,,50.0,50.0
MiniMax-M2.7-highspeed,study2_item_15,15,high,0.88,0.0,0.0,1,0.0,,50.0,50.0
MiniMax-M2.7,study2_item_01,1,high,0.9,0.0,0.0,1,0.0,,50.0,50.0
MiniMax-M2.7,study2_item_02,2,low,0.3,0.0439178916103026,0.0851063829787234,1,0.0,0.8164965809277261,50.0,47.0
MiniMax-M2.7,study2_item_03,3,medium,0.36,0.1700908793494977,0.2888888888888888,1,0.0,0.1714985851425088,49.0,45.0
MiniMax-M2.7,study2_item_04,4,low,0.24,0.0100728646250009,0.02,1,0.0,,50.0,50.0
MiniMax-M2.7,study2_item_05,5,medium,0.64,0.058236799454231,0.16,1,0.0,,50.0,50.0
MiniMax-M2.7,study2_item_06,6,medium,0.44,0.0,0.0,1,0.0,,50.0,50.0
MiniMax-M2.7,study2_item_07,7,low,0.28,0.0,0.0,1,0.0,,50.0,50.0
MiniMax-M2.7,study2_item_08,8,low,0.33,0.0102797595643753,0.0599999999999999,1,0.0,,50.0,50.0
MiniMax-M2.7,study2_item_09,9,medium,0.48,0.021070387801761,0.1632653061224489,1,0.0,1.0,49.0,49.0
MiniMax-M2.7,study2_item_10,10,high,0.92,0.0,0.0,1,0.0,,50.0,50.0
MiniMax-M2.7,study2_item_11,11,medium,0.56,0.3369778898796121,0.58,0,1.0,,50.0,50.0
