Model,Run folder,R2 candidates,R1 provider,R1 model,R1 item n,R1 JSD,R1 TVD,R1 Top1 match,R1 Flip rate,R1 Spearman,R2 provider,R2 model,R2 item n,R2 JSD,R2 TVD,R2 Top1 match,R2 Flip rate,R2 Spearman,Delta JSD,Delta Top1,Delta Flip
K2.6-code-preview,K2.6-code-preview_20260417T175310Z,1,openai,K2.6-code-preview,15,0.07032251870645646,0.11333333333333333,0.9333333333333333,0.06666666666666667,0.4666666666666666,anthropic,claude-opus-4-6,1.0,0.0,0.0,1.0,0.0,,-0.07032251870645646,0.06666666666666665,-0.06666666666666667
MiniMax-M2.7-highspeed,MiniMax-M2.7-highspeed_20260417T175955Z,2,openai,MiniMax-M2.7-highspeed,15,0.04933134160104322,0.1,0.8666666666666667,0.13333333333333333,0.6229673442094912,anthropic,claude-opus-4-6,2.0,0.11822639883001398,0.2,1.0,0.0,,0.06889505722897077,0.1333333333333333,-0.13333333333333333
MiniMax-M2.7,MiniMax-M2.7_20260414T105529Z,1,openai,MiniMax-M2.7,15,0.04485822155824708,0.09581737186600409,0.9333333333333333,0.06666666666666667,0.662665055356745,anthropic,claude-opus-4-6,1.0,0.014378460478078628,0.09999999999999999,1.0,0.0,,-0.03047976108016845,0.06666666666666665,-0.06666666666666667
deepseek-v3.2,deepseek-v3.2_20260412T141541Z,1,deepseek,deepseek-chat,15,0.0918139263856053,0.12533333333333332,0.9333333333333333,0.06666666666666667,0.24401693585629247,,,,,,,,,,,
deepseek-v3,deepseek-v3_20260412T121754Z,1,deepseek,deepseek-chat,15,0.08988673994427104,0.12266666666666667,0.9333333333333333,0.06666666666666667,0.24401693585629247,,,,,,,,,,,
gemini-2.5-flash,gemini2.5-flash_20260417T145822Z,3,gemini,gemini-2.5-flash,15,0.08453674350272053,0.16792820101178593,0.8,0.2,0.6841165176355563,anthropic,claude-opus-4-6,2.0,0.025949580160657758,0.049999999999999996,1.0,0.0,,-0.05858716334206277,0.19999999999999996,-0.2
glm-4-airx,glm-4-airx_20260417T164754Z,3,openai,glm-4-airx,15,0.13792404288123133,0.21733333333333335,0.8,0.2,0.2826089368168114,anthropic,claude-opus-4-6,2.0,0.025949580160657758,0.049999999999999996,1.0,0.0,,-0.11197446272057357,0.19999999999999996,-0.2
glm-4-flashx-250414,glm-4-flashx-250414_20260417T162459Z,3,openai,glm-4-flashx-250414,15,0.21349698541402257,0.3186666666666666,0.8,0.2,0.18814372906620255,anthropic,claude-opus-4-6,2.0,0.08459742755052706,0.15000000000000002,1.0,0.0,,-0.1288995578634955,0.19999999999999996,-0.2
gpt-4o-mini,gpt-4o-mini_20260412T115957Z,2,openai,gpt-4o-mini,15,0.06419332431537775,0.11599999999999998,0.8666666666666667,0.13333333333333333,0.625,anthropic,claude-opus-4-6,1.0,0.0,0.0,1.0,0.0,,-0.06419332431537775,0.1333333333333333,-0.13333333333333333
gpt-5.4-mini,gpt-5.4-mini_20260413T081755Z,3,openai,gpt-5.4-mini,15,0.11244800287686701,0.17733333333333334,0.8,0.2,0.41911449254351457,anthropic,claude-opus-4-6,2.0,0.0,0.0,1.0,0.0,,-0.11244800287686701,0.19999999999999996,-0.2
gpt-5.4 (main),gpt-5.4_20260412T043325Z,3,openai,gpt-5.4,15,0.18893879737373853,0.20400000000000001,0.8,0.2,-0.8774571463366638,anthropic,claude-opus-4-6,3.0,0.07369800514078988,0.13333333333333333,1.0,0.0,,-0.11524079223294866,0.19999999999999996,-0.2
gpt-5.4 (round2-upload),gpt-5.4_20260413T112311Z,1,openai,gpt-5.4,15,0.06519655184595845,0.10133333333333333,0.9333333333333333,0.06666666666666667,0.2886751345948129,anthropic,claude-opus-4-6,1.0,0.0,0.0,1.0,0.0,,-0.06519655184595845,0.06666666666666665,-0.06666666666666667
kimi-for-coding,kimi-for-coding_20260414T162518Z,2,openai,kimi-for-coding,15,0.08631335737801388,0.16133333333333336,0.8666666666666667,0.13333333333333333,0.7989020859100631,anthropic,claude-opus-4-6,2.0,0.11822639883001398,0.2,1.0,0.0,,0.03191304145200011,0.1333333333333333,-0.13333333333333333
mimo-v2-omni,mimo-v2-omni_20260417T175954Z,1,openai,mimo-v2-omni,15,0.03711429197743842,0.08533333333333333,0.9333333333333333,0.06666666666666667,0.7554180075095833,anthropic,claude-opus-4-6,1.0,0.014378460478078628,0.09999999999999999,1.0,0.0,,-0.022735831499359795,0.06666666666666665,-0.06666666666666667
mimo-v2-pro,mimo-v2-pro_20260417T175955Z,0,openai,mimo-v2-pro,15,0.02003365517917741,0.04133333333333334,1.0,0.0,0.6424507205745474,,,,,,,,,,,
qwen3.5-plus,qwen3.5-plus_20260413T182856Z,4,openai,qwen3.5-plus,15,0.1809980696685577,0.24266666666666667,0.7333333333333333,0.26666666666666666,0.17116918854406993,anthropic,claude-opus-4-6,3.0,0.05331023548897188,0.09999999999999999,1.0,0.0,,-0.12768783417958582,0.2666666666666667,-0.26666666666666666
qwen3.6-plus,qwen3.6-plus_20260417T171417Z,2,openai,qwen3.6-plus,15,0.059642073607954725,0.12266666666666669,0.8666666666666667,0.13333333333333333,0.6963406900856062,anthropic,claude-opus-4-6,2.0,0.11822639883001398,0.2,1.0,0.0,,0.05858432522205926,0.1333333333333333,-0.13333333333333333
