run,model,round,mean_jsd,mean_top1,n_items,status
K2.6-code-preview_20260417T175310Z,K2.6-code-preview,1,0.07032251870645645,0.9333333333333333,15,ok
K2.6-code-preview_20260417T175310Z,K2.6-code-preview,2,0.4532833836876739,1.0,1,ok
MiniMax-M2.7-highspeed_20260417T175955Z,MiniMax-M2.7-highspeed,1,0.04933134160104321,0.8666666666666667,15,ok
MiniMax-M2.7-highspeed_20260417T175955Z,MiniMax-M2.7-highspeed,2,,,0,missing
MiniMax-M2.7_20260414T105529Z,MiniMax-M2.7,1,0.04485822155824706,0.9333333333333333,15,ok
MiniMax-M2.7_20260414T105529Z,MiniMax-M2.7,2,0.0579142617625022,1.0,1,ok
deepseek-v3.2_20260412T141541Z,deepseek-chat,1,0.09181392638560529,0.9333333333333333,15,ok
deepseek-v3.2_20260412T141541Z,deepseek-chat,2,0.8195179762781595,0.0,1,ok
deepseek-v3_20260412T121754Z,deepseek-chat,1,0.08988673994427104,0.9333333333333333,15,ok
deepseek-v3_20260412T121754Z,deepseek-chat,2,0.8195179762781595,0.0,1,ok
gemini2.5-flash_20260417T145822Z,gemini-2.5-flash,1,0.0845367435027205,0.8,15,ok
gemini2.5-flash_20260417T145822Z,gemini-2.5-flash,2,0.11059837829974051,0.6666666666666666,3,ok
glm-4-airx_20260417T164754Z,glm-4-airx,1,0.1379240428812313,0.8,15,ok
glm-4-airx_20260417T164754Z,glm-4-airx,2,0.39599986361183376,0.0,3,ok
glm-4-flashx-250414_20260417T162459Z,glm-4-flashx-250414,1,0.21349698541402254,0.8,15,ok
glm-4-flashx-250414_20260417T162459Z,glm-4-flashx-250414,2,0.7496741665224356,0.0,3,ok
gpt-4o-mini_20260412T115957Z,gpt-4o-mini,1,0.06419332431537773,0.8666666666666667,15,ok
gpt-4o-mini_20260412T115957Z,gpt-4o-mini,2,0.30072707595287235,0.5,2,ok
gpt-5.4-mini_20260413T081755Z,gpt-5.4-mini,1,0.11244800287686697,0.8,15,ok
gpt-5.4-mini_20260413T081755Z,gpt-5.4-mini,2,0.11789928448730597,0.6666666666666666,3,ok
gpt-5.4_20260412T043325Z,gpt-5.4,1,0.18893879737373853,0.8,15,ok
gpt-5.4_20260412T043325Z,gpt-5.4,2,0.5775864518537854,0.0,3,ok
gpt-5.4_20260413T112311Z,gpt-5.4,1,0.06519655184595843,0.9333333333333333,15,ok
gpt-5.4_20260413T112311Z,gpt-5.4,2,1.0,0.0,1,ok
kimi-for-coding_20260414T162518Z,kimi-for-coding,1,0.08631335737801385,0.8666666666666667,15,ok
kimi-for-coding_20260414T162518Z,kimi-for-coding,2,0.45,0.5,2,ok
mimo-v2-omni_20260417T175954Z,mimo-v2-omni,1,0.0371142919774384,0.9333333333333333,15,ok
mimo-v2-omni_20260417T175954Z,mimo-v2-omni,2,0.0518991603213155,1.0,1,ok
qwen3.5-plus_20260413T182856Z,qwen3.5-plus,1,0.1809980696685577,0.7333333333333333,15,ok
qwen3.5-plus_20260413T182856Z,qwen3.5-plus,2,0.0744769502504198,0.75,4,ok
qwen3.6-plus_20260417T171417Z,qwen3.6-plus,1,0.05964207360795472,0.8666666666666667,15,ok
qwen3.6-plus_20260417T171417Z,qwen3.6-plus,2,0.03564804913051425,1.0,2,ok
