run,model,item_id,r1_jsd,r2_jsd,r1_top1,r2_top1,delta_jsd,delta_top1,jsd_improved,top1_improved
K2.6-code-preview_20260417T175310Z,K2.6-code-preview,study2_item_04,0.5149577839754269,0.4532833836876739,0,1,-0.061674400287753006,1,True,True
MiniMax-M2.7_20260414T105529Z,MiniMax-M2.7,study2_item_11,0.3369778898796121,0.0579142617625022,0,1,-0.2790636281171099,1,True,True
deepseek-v3.2_20260412T141541Z,deepseek-chat,study2_item_03,0.8163687368112238,0.8195179762781595,0,0,0.0031492394669356827,0,False,False
deepseek-v3_20260412T121754Z,deepseek-chat,study2_item_03,0.7293467828865312,0.8195179762781595,0,0,0.09017119339162827,0,False,False
gemini2.5-flash_20260417T145822Z,gemini-2.5-flash,study2_item_03,0.1360776639050252,0.2140949613535161,0,0,0.0780172974484909,0,False,False
gemini2.5-flash_20260417T145822Z,gemini-2.5-flash,study2_item_11,0.49768066742656,0.1080315461456001,0,1,-0.38964912128095985,1,True,True
gemini2.5-flash_20260417T145822Z,gemini-2.5-flash,study2_item_12,0.2276177058178257,0.0096686274001053,0,1,-0.2179490784177204,1,True,True
glm-4-airx_20260417T164754Z,glm-4-airx,study2_item_03,0.4891223132141432,0.4804820237218405,0,0,-0.008640289492302666,0,True,False
glm-4-airx_20260417T164754Z,glm-4-airx,study2_item_04,0.7261533520592253,0.2140949613535161,0,0,-0.5120583907057091,0,True,False
glm-4-airx_20260417T164754Z,glm-4-airx,study2_item_05,0.1189294018528895,0.4934226057601446,0,0,0.37449320390725505,0,False,False
glm-4-flashx-250414_20260417T162459Z,glm-4-flashx-250414,study2_item_02,0.496040092889972,1.0,0,0,0.503959907110028,0,False,False
glm-4-flashx-250414_20260417T162459Z,glm-4-flashx-250414,study2_item_03,0.3976523219511789,0.6390359525563188,0,0,0.24138363060513995,0,False,False
glm-4-flashx-250414_20260417T162459Z,glm-4-flashx-250414,study2_item_11,0.9289911704818996,0.6099865470109875,0,0,-0.3190046234709121,0,True,False
gpt-4o-mini_20260412T115957Z,gpt-4o-mini,study2_item_02,0.414152447264707,0.4934226057601446,0,0,0.07927015849543756,0,False,False
gpt-4o-mini_20260412T115957Z,gpt-4o-mini,study2_item_03,0.4071183658159944,0.1080315461456001,0,1,-0.2990868196703943,1,True,True
gpt-5.4-mini_20260413T081755Z,gpt-5.4-mini,study2_item_02,0.3437754167980626,0.0,0,1,-0.3437754167980626,1,True,True
gpt-5.4-mini_20260413T081755Z,gpt-5.4-mini,study2_item_03,0.6273395441755125,0.3440292260618126,0,0,-0.28331031811369994,0,True,False
gpt-5.4-mini_20260413T081755Z,gpt-5.4-mini,study2_item_04,0.3761088174201359,0.0096686274001053,0,1,-0.3664401900200306,1,True,True
gpt-5.4_20260412T043325Z,gpt-5.4,study2_item_04,1.0,1.0,0,0,0.0,0,False,False
gpt-5.4_20260412T043325Z,gpt-5.4,study2_item_08,0.9289911704818996,0.336943753557998,0,0,-0.5920474169239016,0,True,False
gpt-5.4_20260412T043325Z,gpt-5.4,study2_item_11,0.8336791289905013,0.3958156020033583,0,0,-0.43786352698714304,0,True,False
gpt-5.4_20260413T112311Z,gpt-5.4,study2_item_04,0.715153158564267,1.0,0,0,0.284846841435733,0,False,False
kimi-for-coding_20260414T162518Z,kimi-for-coding,study2_item_09,0.253184764193558,0.9,0,0,0.6468152358064421,0,False,False
kimi-for-coding_20260414T162518Z,kimi-for-coding,study2_item_11,0.4858265387806776,0.0,0,1,-0.4858265387806776,1,True,True
mimo-v2-omni_20260417T175954Z,mimo-v2-omni,study2_item_11,0.2020096406957233,0.0518991603213155,0,1,-0.1501104803744078,1,True,True
qwen3.5-plus_20260413T182856Z,qwen3.5-plus,study2_item_03,0.471354195546718,0.2979078010016792,0,0,-0.1734463945450388,0,True,False
qwen3.5-plus_20260413T182856Z,qwen3.5-plus,study2_item_04,1.0,0.0,0,1,-1.0,1,True,True
qwen3.5-plus_20260413T182856Z,qwen3.5-plus,study2_item_09,0.265220736549466,0.0,0,1,-0.265220736549466,1,True,True
qwen3.5-plus_20260413T182856Z,qwen3.5-plus,study2_item_11,0.6364619458936842,0.0,0,1,-0.6364619458936842,1,True,True
qwen3.6-plus_20260417T171417Z,qwen3.6-plus,study2_item_09,0.1094241396946089,0.0712960982610285,0,1,-0.038128041433580395,1,True,True
qwen3.6-plus_20260417T171417Z,qwen3.6-plus,study2_item_11,0.2958073480446818,0.0,0,1,-0.2958073480446818,1,True,True
