run,model,n_items,r1_mean_jsd,r2_mean_jsd,r1_mean_top1,r2_mean_top1,delta_jsd,delta_top1
K2.6-code-preview_20260417T175310Z,K2.6-code-preview,1,0.5149577839754269,0.4532833836876739,0.0,1.0,-0.061674400287753006,1.0
MiniMax-M2.7_20260414T105529Z,MiniMax-M2.7,1,0.3369778898796121,0.0579142617625022,0.0,1.0,-0.2790636281171099,1.0
deepseek-v3.2_20260412T141541Z,deepseek-chat,1,0.8163687368112238,0.8195179762781595,0.0,0.0,0.0031492394669356827,0.0
deepseek-v3_20260412T121754Z,deepseek-chat,1,0.7293467828865312,0.8195179762781595,0.0,0.0,0.09017119339162827,0.0
gemini2.5-flash_20260417T145822Z,gemini-2.5-flash,3,0.2871253457164703,0.11059837829974051,0.0,0.6666666666666666,-0.1765269674167298,0.6666666666666666
glm-4-airx_20260417T164754Z,glm-4-airx,3,0.44473502237541934,0.39599986361183376,0.0,0.0,-0.048735158763585584,0.0
glm-4-flashx-250414_20260417T162459Z,glm-4-flashx-250414,3,0.6075611951076835,0.7496741665224356,0.0,0.0,0.1421129714147521,0.0
gpt-4o-mini_20260412T115957Z,gpt-4o-mini,2,0.4106354065403507,0.30072707595287235,0.0,0.5,-0.10990833058747834,0.5
gpt-5.4-mini_20260413T081755Z,gpt-5.4-mini,3,0.4490745927979037,0.11789928448730597,0.0,0.6666666666666666,-0.3311753083105977,0.6666666666666666
gpt-5.4_20260412T043325Z,gpt-5.4,3,0.9208900998241337,0.5775864518537854,0.0,0.0,-0.3433036479703483,0.0
gpt-5.4_20260413T112311Z,gpt-5.4,1,0.715153158564267,1.0,0.0,0.0,0.284846841435733,0.0
kimi-for-coding_20260414T162518Z,kimi-for-coding,2,0.3695056514871178,0.45,0.0,0.5,0.08049434851288223,0.5
mimo-v2-omni_20260417T175954Z,mimo-v2-omni,1,0.2020096406957233,0.0518991603213155,0.0,1.0,-0.1501104803744078,1.0
qwen3.5-plus_20260413T182856Z,qwen3.5-plus,4,0.5932592194974671,0.0744769502504198,0.0,0.75,-0.5187822692470473,0.75
qwen3.6-plus_20260417T171417Z,qwen3.6-plus,2,0.20261574386964534,0.03564804913051425,0.0,1.0,-0.1669676947391311,1.0
