run,round2_candidates,r1_provider,r1_model,r1_jsd,r1_top1_match,r2_provider,r2_model,r2_jsd,r2_top1_match,delta_jsd_r2_minus_r1,delta_top1_r2_minus_r1
K2.6-code-preview_20260417T175310Z,1,openai,K2.6-code-preview,0.07032251870645646,0.9333333333333333,anthropic,claude-opus-4-6,0.0,1.0,-0.07032251870645646,0.06666666666666665
MiniMax-M2.7-highspeed_20260417T175955Z,2,openai,MiniMax-M2.7-highspeed,0.04933134160104322,0.8666666666666667,anthropic,claude-opus-4-6,0.11822639883001398,1.0,0.06889505722897077,0.1333333333333333
MiniMax-M2.7_20260414T105529Z,1,openai,MiniMax-M2.7,0.04485822155824708,0.9333333333333333,anthropic,claude-opus-4-6,0.014378460478078628,1.0,-0.03047976108016845,0.06666666666666665
deepseek-v3.2_20260412T141541Z,1,deepseek,deepseek-chat,0.0918139263856053,0.9333333333333333,,,,,,
deepseek-v3_20260412T121754Z,1,deepseek,deepseek-chat,0.08988673994427104,0.9333333333333333,,,,,,
gemini2.5-flash_20260417T145822Z,3,gemini,gemini-2.5-flash,0.08453674350272053,0.8,anthropic,claude-opus-4-6,0.025949580160657758,1.0,-0.05858716334206277,0.19999999999999996
glm-4-airx_20260417T164754Z,3,openai,glm-4-airx,0.13792404288123133,0.8,anthropic,claude-opus-4-6,0.025949580160657758,1.0,-0.11197446272057357,0.19999999999999996
glm-4-flashx-250414_20260417T162459Z,3,openai,glm-4-flashx-250414,0.21349698541402257,0.8,anthropic,claude-opus-4-6,0.08459742755052706,1.0,-0.1288995578634955,0.19999999999999996
gpt-4o-mini_20260412T115957Z,2,openai,gpt-4o-mini,0.06419332431537775,0.8666666666666667,anthropic,claude-opus-4-6,0.0,1.0,-0.06419332431537775,0.1333333333333333
gpt-5.4-mini_20260413T081755Z,3,openai,gpt-5.4-mini,0.11244800287686701,0.8,anthropic,claude-opus-4-6,0.0,1.0,-0.11244800287686701,0.19999999999999996
gpt-5.4_20260412T043325Z,3,openai,gpt-5.4,0.18893879737373853,0.8,anthropic,claude-opus-4-6,0.07369800514078988,1.0,-0.11524079223294866,0.19999999999999996
gpt-5.4_20260413T112311Z,1,openai,gpt-5.4,0.06519655184595845,0.9333333333333333,anthropic,claude-opus-4-6,0.0,1.0,-0.06519655184595845,0.06666666666666665
kimi-for-coding_20260414T162518Z,2,openai,kimi-for-coding,0.08631335737801388,0.8666666666666667,anthropic,claude-opus-4-6,0.11822639883001398,1.0,0.03191304145200011,0.1333333333333333
mimo-v2-omni_20260417T175954Z,1,openai,mimo-v2-omni,0.03711429197743842,0.9333333333333333,anthropic,claude-opus-4-6,0.014378460478078628,1.0,-0.022735831499359795,0.06666666666666665
mimo-v2-pro_20260417T175955Z,0,openai,mimo-v2-pro,0.02003365517917741,1.0,,,,,,
qwen3.5-plus_20260413T182856Z,4,openai,qwen3.5-plus,0.1809980696685577,0.7333333333333333,anthropic,claude-opus-4-6,0.05331023548897188,1.0,-0.12768783417958582,0.2666666666666667
qwen3.6-plus_20260417T171417Z,2,openai,qwen3.6-plus,0.059642073607954725,0.8666666666666667,anthropic,claude-opus-4-6,0.11822639883001398,1.0,0.05858432522205926,0.1333333333333333
