run,model,round2_candidates,r1_jsd,r2_jsd,delta_jsd,r1_top1,r2_top1,delta_top1
K2.6-code-preview_20260417T175310Z,K2.6-code-preview,1,0.07032251870645646,0.0,-0.07032251870645646,0.9333333333333333,1.0,0.06666666666666665
MiniMax-M2.7-highspeed_20260417T175955Z,MiniMax-M2.7-highspeed,2,0.04933134160104322,0.11822639883001398,0.06889505722897077,0.8666666666666667,1.0,0.1333333333333333
MiniMax-M2.7_20260414T105529Z,MiniMax-M2.7,1,0.04485822155824708,0.014378460478078628,-0.03047976108016845,0.9333333333333333,1.0,0.06666666666666665
deepseek-v3.2_20260412T141541Z,deepseek-v3.2,1,0.0918139263856053,,,0.9333333333333333,,
deepseek-v3_20260412T121754Z,deepseek-v3,1,0.08988673994427104,,,0.9333333333333333,,
gemini2.5-flash_20260417T145822Z,gemini2.5-flash,3,0.08453674350272053,0.025949580160657758,-0.05858716334206277,0.8,1.0,0.19999999999999996
glm-4-airx_20260417T164754Z,glm-4-airx,3,0.13792404288123133,0.025949580160657758,-0.11197446272057357,0.8,1.0,0.19999999999999996
glm-4-flashx-250414_20260417T162459Z,glm-4-flashx-250414,3,0.21349698541402257,0.08459742755052706,-0.1288995578634955,0.8,1.0,0.19999999999999996
gpt-4o-mini_20260412T115957Z,gpt-4o-mini,2,0.06419332431537775,0.0,-0.06419332431537775,0.8666666666666667,1.0,0.1333333333333333
gpt-5.4-mini_20260413T081755Z,gpt-5.4-mini,3,0.11244800287686701,0.0,-0.11244800287686701,0.8,1.0,0.19999999999999996
gpt-5.4_20260412T043325Z,gpt-5.4,3,0.18893879737373853,0.07369800514078988,-0.11524079223294866,0.8,1.0,0.19999999999999996
gpt-5.4_20260413T112311Z,gpt-5.4,1,0.06519655184595845,0.0,-0.06519655184595845,0.9333333333333333,1.0,0.06666666666666665
kimi-for-coding_20260414T162518Z,kimi-for-coding,2,0.08631335737801388,0.11822639883001398,0.03191304145200011,0.8666666666666667,1.0,0.1333333333333333
mimo-v2-omni_20260417T175954Z,mimo-v2-omni,1,0.03711429197743842,0.014378460478078628,-0.022735831499359795,0.9333333333333333,1.0,0.06666666666666665
mimo-v2-pro_20260417T175955Z,mimo-v2-pro,0,0.02003365517917741,,,1.0,,
qwen3.5-plus_20260413T182856Z,qwen3.5-plus,4,0.1809980696685577,0.05331023548897188,-0.12768783417958582,0.7333333333333333,1.0,0.2666666666666667
qwen3.6-plus_20260417T171417Z,qwen3.6-plus,2,0.059642073607954725,0.11822639883001398,0.05858432522205926,0.8666666666666667,1.0,0.1333333333333333
