scope,metric_family,provider,model,round_index,panel_id,item_id,prompt_language,metric,ci_low,ci_high
aggregate,cross_lingual,anthropic,claude-opus-4-6,2,study2_british_within,,en_vs_zh,jsd,0.0,0.0
aggregate,cross_lingual,anthropic,claude-opus-4-6,2,study2_british_within,,en_vs_zh,tvd,0.0,0.0
aggregate,cross_lingual,anthropic,claude-opus-4-6,2,study2_british_within,,en_vs_zh,top1_match,1.0,1.0
aggregate,cross_lingual,anthropic,claude-opus-4-6,2,study2_british_within,,en_vs_zh,flip_rate,0.0,0.0
aggregate,cross_lingual,openai,K2.6-code-preview,1,study2_british_within,,en_vs_zh,jsd,0.010118001191158445,0.14719813197810405
aggregate,cross_lingual,openai,K2.6-code-preview,1,study2_british_within,,en_vs_zh,tvd,0.021333333333333333,0.228
aggregate,cross_lingual,openai,K2.6-code-preview,1,study2_british_within,,en_vs_zh,top1_match,0.8,1.0
aggregate,cross_lingual,openai,K2.6-code-preview,1,study2_british_within,,en_vs_zh,flip_rate,0.0,0.2
aggregate,cross_lingual,openai,K2.6-code-preview,2,study2_british_within,,en_vs_zh,jsd,0.3417998289305583,0.3417998289305583
aggregate,cross_lingual,openai,K2.6-code-preview,2,study2_british_within,,en_vs_zh,tvd,0.5,0.5
aggregate,cross_lingual,openai,K2.6-code-preview,2,study2_british_within,,en_vs_zh,top1_match,1.0,1.0
aggregate,cross_lingual,openai,K2.6-code-preview,2,study2_british_within,,en_vs_zh,flip_rate,0.0,0.0
aggregate,human_alignment,anthropic,claude-opus-4-6,2,study2_british_within,,en,jsd,0.5605218825340386,0.5605218825340386
aggregate,human_alignment,anthropic,claude-opus-4-6,2,study2_british_within,,en,tvd,0.76,0.76
aggregate,human_alignment,anthropic,claude-opus-4-6,2,study2_british_within,,en,top1_match,1.0,1.0
aggregate,human_alignment,anthropic,claude-opus-4-6,2,study2_british_within,,zh,jsd,0.5605218825340386,0.5605218825340386
aggregate,human_alignment,anthropic,claude-opus-4-6,2,study2_british_within,,zh,tvd,0.76,0.76
aggregate,human_alignment,anthropic,claude-opus-4-6,2,study2_british_within,,zh,top1_match,1.0,1.0
aggregate,human_alignment,openai,K2.6-code-preview,1,study2_british_within,,en,jsd,0.23754831541534205,0.49080894073898246
aggregate,human_alignment,openai,K2.6-code-preview,1,study2_british_within,,en,tvd,0.3553166666666667,0.6333333333333332
aggregate,human_alignment,openai,K2.6-code-preview,1,study2_british_within,,en,top1_match,0.5333333333333333,0.9333333333333333
aggregate,human_alignment,openai,K2.6-code-preview,1,study2_british_within,,zh,jsd,0.23988984931998286,0.518005612682602
aggregate,human_alignment,openai,K2.6-code-preview,1,study2_british_within,,zh,tvd,0.3666333333333333,0.6586833333333334
aggregate,human_alignment,openai,K2.6-code-preview,1,study2_british_within,,zh,top1_match,0.6,1.0
aggregate,human_alignment,openai,K2.6-code-preview,2,study2_british_within,,en,jsd,0.23602656800694477,0.23602656800694477
aggregate,human_alignment,openai,K2.6-code-preview,2,study2_british_within,,en,tvd,0.39,0.39
aggregate,human_alignment,openai,K2.6-code-preview,2,study2_british_within,,en,top1_match,1.0,1.0
aggregate,human_alignment,openai,K2.6-code-preview,2,study2_british_within,,zh,jsd,0.5163636455613254,0.5163636455613254
aggregate,human_alignment,openai,K2.6-code-preview,2,study2_british_within,,zh,tvd,0.72,0.72
aggregate,human_alignment,openai,K2.6-code-preview,2,study2_british_within,,zh,top1_match,1.0,1.0
item,cross_lingual,anthropic,claude-opus-4-6,2,study2_british_within,study2_item_04,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,anthropic,claude-opus-4-6,2,study2_british_within,study2_item_04,en_vs_zh,tvd,0.0,0.0
item,cross_lingual,openai,K2.6-code-preview,1,study2_british_within,study2_item_01,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,openai,K2.6-code-preview,1,study2_british_within,study2_item_01,en_vs_zh,tvd,0.0,0.0
item,cross_lingual,openai,K2.6-code-preview,1,study2_british_within,study2_item_02,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,openai,K2.6-code-preview,1,study2_british_within,study2_item_02,en_vs_zh,tvd,0.0,0.0
item,cross_lingual,openai,K2.6-code-preview,1,study2_british_within,study2_item_03,en_vs_zh,jsd,0.0,0.03066939825433814
item,cross_lingual,openai,K2.6-code-preview,1,study2_british_within,study2_item_03,en_vs_zh,tvd,0.0,0.060000000000000026
item,cross_lingual,openai,K2.6-code-preview,1,study2_british_within,study2_item_04,en_vs_zh,jsd,0.39537006942383884,0.6642991177133706
item,cross_lingual,openai,K2.6-code-preview,1,study2_british_within,study2_item_04,en_vs_zh,tvd,0.5995,0.84
item,cross_lingual,openai,K2.6-code-preview,1,study2_british_within,study2_item_04,en_vs_zh,spearman,0.0,0.0
item,cross_lingual,openai,K2.6-code-preview,1,study2_british_within,study2_item_05,en_vs_zh,jsd,0.12821486457190723,0.3017081324612253
item,cross_lingual,openai,K2.6-code-preview,1,study2_british_within,study2_item_05,en_vs_zh,tvd,0.2195,0.48
item,cross_lingual,openai,K2.6-code-preview,1,study2_british_within,study2_item_05,en_vs_zh,spearman,0.316227766016838,0.8660254037844387
item,cross_lingual,openai,K2.6-code-preview,1,study2_british_within,study2_item_06,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,openai,K2.6-code-preview,1,study2_british_within,study2_item_06,en_vs_zh,tvd,0.0,0.0
item,cross_lingual,openai,K2.6-code-preview,1,study2_british_within,study2_item_07,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,openai,K2.6-code-preview,1,study2_british_within,study2_item_07,en_vs_zh,tvd,0.0,0.0
item,cross_lingual,openai,K2.6-code-preview,1,study2_british_within,study2_item_08,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,openai,K2.6-code-preview,1,study2_british_within,study2_item_08,en_vs_zh,tvd,0.0,0.0
item,cross_lingual,openai,K2.6-code-preview,1,study2_british_within,study2_item_09,en_vs_zh,jsd,0.19001773280452,0.39357225308146193
item,cross_lingual,openai,K2.6-code-preview,1,study2_british_within,study2_item_09,en_vs_zh,tvd,0.3,0.58
item,cross_lingual,openai,K2.6-code-preview,1,study2_british_within,study2_item_09,en_vs_zh,spearman,-0.20519567041703085,0.4103913408340617
item,cross_lingual,openai,K2.6-code-preview,1,study2_british_within,study2_item_10,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,openai,K2.6-code-preview,1,study2_british_within,study2_item_10,en_vs_zh,tvd,0.0,0.0
item,cross_lingual,openai,K2.6-code-preview,1,study2_british_within,study2_item_11,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,openai,K2.6-code-preview,1,study2_british_within,study2_item_11,en_vs_zh,tvd,0.0,0.0
item,cross_lingual,openai,K2.6-code-preview,1,study2_british_within,study2_item_12,en_vs_zh,jsd,0.062764486510794,0.20873545110053365
item,cross_lingual,openai,K2.6-code-preview,1,study2_british_within,study2_item_12,en_vs_zh,tvd,0.12,0.36
item,cross_lingual,openai,K2.6-code-preview,1,study2_british_within,study2_item_13,en_vs_zh,jsd,0.03066939825433814,0.1565134063627906
item,cross_lingual,openai,K2.6-code-preview,1,study2_british_within,study2_item_13,en_vs_zh,tvd,0.060000000000000026,0.28
item,cross_lingual,openai,K2.6-code-preview,1,study2_british_within,study2_item_14,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,openai,K2.6-code-preview,1,study2_british_within,study2_item_14,en_vs_zh,tvd,0.0,0.0
item,cross_lingual,openai,K2.6-code-preview,1,study2_british_within,study2_item_15,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,openai,K2.6-code-preview,1,study2_british_within,study2_item_15,en_vs_zh,tvd,0.0,0.0
item,cross_lingual,openai,K2.6-code-preview,2,study2_british_within,study2_item_04,en_vs_zh,jsd,0.10803154614560012,0.6241602877024715
item,cross_lingual,openai,K2.6-code-preview,2,study2_british_within,study2_item_04,en_vs_zh,tvd,0.19999999999999998,0.8
item,cross_lingual,openai,K2.6-code-preview,2,study2_british_within,study2_item_04,en_vs_zh,spearman,-0.7518343340144263,1.0
item,human_alignment,anthropic,claude-opus-4-6,2,study2_british_within,study2_item_04,en,jsd,0.5605218825340386,0.5605218825340386
item,human_alignment,anthropic,claude-opus-4-6,2,study2_british_within,study2_item_04,en,tvd,0.76,0.76
item,human_alignment,anthropic,claude-opus-4-6,2,study2_british_within,study2_item_04,en,spearman,0.4633239167994182,0.4633239167994182
item,human_alignment,anthropic,claude-opus-4-6,2,study2_british_within,study2_item_04,zh,jsd,0.5605218825340386,0.5605218825340386
item,human_alignment,anthropic,claude-opus-4-6,2,study2_british_within,study2_item_04,zh,tvd,0.76,0.76
item,human_alignment,anthropic,claude-opus-4-6,2,study2_british_within,study2_item_04,zh,spearman,0.4633239167994182,0.4633239167994182
item,human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_01,en,jsd,0.051899160321315516,0.051899160321315516
item,human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_01,en,tvd,0.09999999999999999,0.09999999999999999
item,human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_01,en,spearman,0.75,0.75
item,human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_01,zh,jsd,0.051899160321315516,0.051899160321315516
item,human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_01,zh,tvd,0.09999999999999999,0.09999999999999999
item,human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_01,zh,spearman,0.75,0.75
item,human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_02,en,jsd,0.49342260576014463,0.49342260576014463
item,human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_02,en,tvd,0.7,0.7
item,human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_02,en,spearman,0.37582301400141443,0.37582301400141443
item,human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_02,zh,jsd,0.49342260576014463,0.49342260576014463
item,human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_02,zh,tvd,0.7,0.7
item,human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_02,zh,spearman,0.37582301400141443,0.37582301400141443
item,human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_03,en,jsd,0.9289911704818996,0.9289911704818996
item,human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_03,en,tvd,0.98,0.98
item,human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_03,en,spearman,-0.03200484803483466,-0.03200484803483466
item,human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_03,zh,jsd,0.8885514474098826,0.9289911704818996
item,human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_03,zh,tvd,0.95,0.98
item,human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_03,zh,spearman,-0.03200484803483466,0.04060359359147241
item,human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_04,en,jsd,0.2969205700599575,0.41734397121863387
item,human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_04,en,tvd,0.49000000000000005,0.61
item,human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_04,en,spearman,0.6287930025308828,0.7471025226155217
item,human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_04,zh,jsd,0.5605218825340386,0.5605218825340386
item,human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_04,zh,tvd,0.76,0.76
item,human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_04,zh,spearman,0.4633239167994182,0.4633239167994182
item,human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_05,en,jsd,0.6062912767543835,0.6787881102649855
item,human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_05,en,tvd,0.78,0.85
item,human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_05,en,spearman,0.43828627820190663,0.5814536901762849
item,human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_05,zh,jsd,0.36382484274665755,0.5852203994113645
item,human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_05,zh,tvd,0.6599999999999999,0.78
item,human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_05,zh,spearman,0.5814536901762849,0.8188456017066091
item,human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_06,en,jsd,0.36065704994910286,0.36065704994910286
item,human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_06,en,tvd,0.56,0.56
item,human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_06,en,spearman,0.422936920641326,0.422936920641326
item,human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_06,zh,jsd,0.36065704994910286,0.36065704994910286
item,human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_06,zh,tvd,0.56,0.56
item,human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_06,zh,spearman,0.422936920641326,0.422936920641326
item,human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_07,en,jsd,0.5149577839754269,0.5149577839754269
item,human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_07,en,tvd,0.72,0.72
