metric_family,provider,model,round_index,panel_id,item_id,item_number,human_top1_probability,consensus_bucket,prompt_language,jsd,tvd,top1_match,flip_rate,spearman,successful_samples,expected_samples,completion_rate,en_successful_samples,zh_successful_samples
cross_lingual,anthropic,claude-opus-4-6,2,study2_british_within,study2_item_09,9,0.48,medium,en_vs_zh,0.0,0.0,1,0.0,,10,10,1.0,10.0,10.0
cross_lingual,anthropic,claude-opus-4-6,2,study2_british_within,study2_item_11,11,0.56,medium,en_vs_zh,0.23645279766002797,0.4,1,0.0,,10,10,1.0,10.0,10.0
cross_lingual,openai,MiniMax-M2.7-highspeed,1,study2_british_within,study2_item_01,1,0.9,high,en_vs_zh,0.0,0.0,1,0.0,,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,MiniMax-M2.7-highspeed,1,study2_british_within,study2_item_02,2,0.3,low,en_vs_zh,0.02,0.02,1,0.0,0.5,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,MiniMax-M2.7-highspeed,1,study2_british_within,study2_item_03,3,0.36,medium,en_vs_zh,0.11731061568795935,0.24,1,0.0,0.4918693768379647,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,MiniMax-M2.7-highspeed,1,study2_british_within,study2_item_04,4,0.24,low,en_vs_zh,0.0,0.0,1,0.0,,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,MiniMax-M2.7-highspeed,1,study2_british_within,study2_item_05,5,0.64,medium,en_vs_zh,0.06823163944993658,0.18,1,0.0,,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,MiniMax-M2.7-highspeed,1,study2_british_within,study2_item_06,6,0.44,medium,en_vs_zh,0.0,0.0,1,0.0,,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,MiniMax-M2.7-highspeed,1,study2_british_within,study2_item_07,7,0.28,low,en_vs_zh,0.0,0.0,1,0.0,,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,MiniMax-M2.7-highspeed,1,study2_british_within,study2_item_08,8,0.33,low,en_vs_zh,0.021113301031368326,0.04000000000000001,1,0.0,1.0,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,MiniMax-M2.7-highspeed,1,study2_british_within,study2_item_09,9,0.48,medium,en_vs_zh,0.05749268876856723,0.26000000000000006,0,1.0,0.5,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,MiniMax-M2.7-highspeed,1,study2_british_within,study2_item_10,10,0.92,high,en_vs_zh,0.0,0.0,1,0.0,,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,MiniMax-M2.7-highspeed,1,study2_british_within,study2_item_11,11,0.56,medium,en_vs_zh,0.44574901445281595,0.74,0,1.0,,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,MiniMax-M2.7-highspeed,1,study2_british_within,study2_item_12,12,0.3,low,en_vs_zh,0.01007286462500093,0.02000000000000001,1,0.0,,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,MiniMax-M2.7-highspeed,1,study2_british_within,study2_item_13,13,0.83,high,en_vs_zh,0.0,0.0,1,0.0,,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,MiniMax-M2.7-highspeed,1,study2_british_within,study2_item_14,14,0.74,high,en_vs_zh,0.0,0.0,1,0.0,,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,MiniMax-M2.7-highspeed,1,study2_british_within,study2_item_15,15,0.88,high,en_vs_zh,0.0,0.0,1,0.0,,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,MiniMax-M2.7-highspeed,2,study2_british_within,study2_item_09,9,0.48,medium,en_vs_zh,0.0,0.0,1,0.0,,10,10,1.0,10.0,10.0
cross_lingual,openai,MiniMax-M2.7-highspeed,2,study2_british_within,study2_item_11,11,0.56,medium,en_vs_zh,0.5310044064107189,0.8,0,1.0,,10,10,1.0,10.0,10.0
