metric_family,provider,model,round_index,panel_id,item_id,item_number,human_top1_probability,consensus_bucket,prompt_language,jsd,tvd,top1_match,flip_rate,spearman,successful_samples,expected_samples,completion_rate,en_successful_samples,zh_successful_samples
cross_lingual,anthropic,claude-opus-4-6,2,study2_british_within,study2_item_11,11,0.56,medium,en_vs_zh,0.014378460478078628,0.09999999999999999,1,0.0,,10,10,1.0,10.0,10.0
cross_lingual,openai,MiniMax-M2.7,1,study2_british_within,study2_item_01,1,0.9,high,en_vs_zh,0.0,0.0,1,0.0,,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,MiniMax-M2.7,1,study2_british_within,study2_item_02,2,0.3,low,en_vs_zh,0.04391789161030267,0.08510638297872342,1,0.0,0.8164965809277261,47,30,1.5666666666666667,50.0,47.0
cross_lingual,openai,MiniMax-M2.7,1,study2_british_within,study2_item_03,3,0.36,medium,en_vs_zh,0.17009087934949776,0.28888888888888886,1,0.0,0.17149858514250885,45,30,1.5,49.0,45.0
cross_lingual,openai,MiniMax-M2.7,1,study2_british_within,study2_item_04,4,0.24,low,en_vs_zh,0.01007286462500093,0.02000000000000001,1,0.0,,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,MiniMax-M2.7,1,study2_british_within,study2_item_05,5,0.64,medium,en_vs_zh,0.058236799454231054,0.16000000000000003,1,0.0,,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,MiniMax-M2.7,1,study2_british_within,study2_item_06,6,0.44,medium,en_vs_zh,0.0,0.0,1,0.0,,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,MiniMax-M2.7,1,study2_british_within,study2_item_07,7,0.28,low,en_vs_zh,0.0,0.0,1,0.0,,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,MiniMax-M2.7,1,study2_british_within,study2_item_08,8,0.33,low,en_vs_zh,0.010279759564375303,0.05999999999999997,1,0.0,,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,MiniMax-M2.7,1,study2_british_within,study2_item_09,9,0.48,medium,en_vs_zh,0.021070387801761008,0.16326530612244897,1,0.0,1.0,49,30,1.6333333333333333,49.0,49.0
cross_lingual,openai,MiniMax-M2.7,1,study2_british_within,study2_item_10,10,0.92,high,en_vs_zh,0.0,0.0,1,0.0,,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,MiniMax-M2.7,1,study2_british_within,study2_item_11,11,0.56,medium,en_vs_zh,0.3369778898796121,0.58,0,1.0,,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,MiniMax-M2.7,1,study2_british_within,study2_item_12,12,0.3,low,en_vs_zh,0.022226851088925328,0.07999999999999999,1,0.0,,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,MiniMax-M2.7,1,study2_british_within,study2_item_13,13,0.83,high,en_vs_zh,0.0,0.0,1,0.0,,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,MiniMax-M2.7,1,study2_british_within,study2_item_14,14,0.74,high,en_vs_zh,0.0,0.0,1,0.0,,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,MiniMax-M2.7,1,study2_british_within,study2_item_15,15,0.88,high,en_vs_zh,0.0,0.0,1,0.0,,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,MiniMax-M2.7,2,study2_british_within,study2_item_11,11,0.56,medium,en_vs_zh,0.5310044064107189,0.8,0,1.0,,10,10,1.0,10.0,10.0
human_alignment,anthropic,claude-opus-4-6,2,study2_british_within,study2_item_11,11,0.56,medium,en,0.16107696843389682,0.33999999999999997,1,,0.6749263711465147,10,10,1.0,,
human_alignment,anthropic,claude-opus-4-6,2,study2_british_within,study2_item_11,11,0.56,medium,zh,0.13535588408084331,0.24,1,,0.6749263711465147,10,10,1.0,,
human_alignment,openai,MiniMax-M2.7,1,study2_british_within,study2_item_01,1,0.9,high,en,0.051899160321315516,0.09999999999999999,1,,0.75,50,30,1.6666666666666667,,
human_alignment,openai,MiniMax-M2.7,1,study2_british_within,study2_item_01,1,0.9,high,zh,0.051899160321315516,0.09999999999999999,1,,0.75,50,30,1.6666666666666667,,
human_alignment,openai,MiniMax-M2.7,1,study2_british_within,study2_item_02,2,0.3,low,en,0.49342260576014463,0.7,1,,0.37582301400141443,50,30,1.6666666666666667,,
human_alignment,openai,MiniMax-M2.7,1,study2_british_within,study2_item_02,2,0.3,low,zh,0.41617960994195047,0.6374468085106383,1,,0.2782098928596508,47,30,1.5666666666666667,,
human_alignment,openai,MiniMax-M2.7,1,study2_british_within,study2_item_03,3,0.36,medium,en,0.8760036806585848,0.9595918367346938,0,,0.23737485484245413,49,30,1.6333333333333333,,
human_alignment,openai,MiniMax-M2.7,1,study2_british_within,study2_item_03,3,0.36,medium,zh,0.7374988020195725,0.8677777777777778,0,,0.107682229017855,45,30,1.5,,
human_alignment,openai,MiniMax-M2.7,1,study2_british_within,study2_item_04,4,0.24,low,en,0.5605218825340386,0.76,1,,0.4633239167994182,50,30,1.6666666666666667,,
human_alignment,openai,MiniMax-M2.7,1,study2_british_within,study2_item_04,4,0.24,low,zh,0.5292643449967422,0.74,1,,0.4863981746034856,50,30,1.6666666666666667,,
human_alignment,openai,MiniMax-M2.7,1,study2_british_within,study2_item_05,5,0.64,medium,en,0.6161734451342202,0.83,0,,0.7133297848554423,50,30,1.6666666666666667,,
human_alignment,openai,MiniMax-M2.7,1,study2_british_within,study2_item_05,5,0.64,medium,zh,0.38735231633969,0.6699999999999999,0,,0.7133297848554423,50,30,1.6666666666666667,,
human_alignment,openai,MiniMax-M2.7,1,study2_british_within,study2_item_06,6,0.44,medium,en,0.36065704994910286,0.56,1,,0.422936920641326,50,30,1.6666666666666667,,
human_alignment,openai,MiniMax-M2.7,1,study2_british_within,study2_item_06,6,0.44,medium,zh,0.36065704994910286,0.56,1,,0.422936920641326,50,30,1.6666666666666667,,
human_alignment,openai,MiniMax-M2.7,1,study2_british_within,study2_item_07,7,0.28,low,en,0.5149577839754269,0.72,1,,0.3473009417599612,50,30,1.6666666666666667,,
human_alignment,openai,MiniMax-M2.7,1,study2_british_within,study2_item_07,7,0.28,low,zh,0.5149577839754269,0.72,1,,0.3473009417599612,50,30,1.6666666666666667,,
human_alignment,openai,MiniMax-M2.7,1,study2_british_within,study2_item_08,8,0.33,low,en,0.4598401679781827,0.66,1,,0.17609582219800676,50,30,1.6666666666666667,,
human_alignment,openai,MiniMax-M2.7,1,study2_british_within,study2_item_08,8,0.33,low,zh,0.4528172479201168,0.6599999999999999,1,,0.17609582219800676,50,30,1.6666666666666667,,
human_alignment,openai,MiniMax-M2.7,1,study2_british_within,study2_item_09,9,0.48,medium,en,0.4599996927328837,0.5210204081632653,0,,0.37403480980562215,49,30,1.6333333333333333,,
human_alignment,openai,MiniMax-M2.7,1,study2_british_within,study2_item_09,9,0.48,medium,zh,0.5554268146819918,0.6842857142857143,0,,0.37403480980562215,49,30,1.6333333333333333,,
human_alignment,openai,MiniMax-M2.7,1,study2_british_within,study2_item_10,10,0.92,high,en,0.04120259398127841,0.07999999999999997,1,,0.6956083436402525,50,30,1.6666666666666667,,
human_alignment,openai,MiniMax-M2.7,1,study2_british_within,study2_item_10,10,0.92,high,zh,0.04120259398127841,0.07999999999999997,1,,0.6956083436402525,50,30,1.6666666666666667,,
human_alignment,openai,MiniMax-M2.7,1,study2_british_within,study2_item_11,11,0.56,medium,en,0.22349689689614063,0.42,1,,0.6749263711465147,50,30,1.6666666666666667,,
