scope,metric_family,provider,model,round_index,panel_id,item_id,prompt_language,metric,ci_low,ci_high
aggregate,cross_lingual,anthropic,claude-opus-4-6,2,study2_british_within,,en_vs_zh,jsd,0.0,0.051899160321315516
aggregate,cross_lingual,anthropic,claude-opus-4-6,2,study2_british_within,,en_vs_zh,tvd,0.0,0.09999999999999999
aggregate,cross_lingual,anthropic,claude-opus-4-6,2,study2_british_within,,en_vs_zh,top1_match,1.0,1.0
aggregate,cross_lingual,anthropic,claude-opus-4-6,2,study2_british_within,,en_vs_zh,flip_rate,0.0,0.0
aggregate,cross_lingual,openai,glm-4-airx,1,study2_british_within,,en_vs_zh,jsd,0.045717552733518935,0.2552632112570114
aggregate,cross_lingual,openai,glm-4-airx,1,study2_british_within,,en_vs_zh,tvd,0.08800000000000001,0.36666666666666664
aggregate,cross_lingual,openai,glm-4-airx,1,study2_british_within,,en_vs_zh,top1_match,0.6,1.0
aggregate,cross_lingual,openai,glm-4-airx,1,study2_british_within,,en_vs_zh,flip_rate,0.0,0.4
aggregate,human_alignment,anthropic,claude-opus-4-6,2,study2_british_within,,en,jsd,0.20873545110053363,0.7175985799480668
aggregate,human_alignment,anthropic,claude-opus-4-6,2,study2_british_within,,en,tvd,0.36000000000000004,0.87
aggregate,human_alignment,anthropic,claude-opus-4-6,2,study2_british_within,,en,top1_match,0.0,1.0
aggregate,human_alignment,anthropic,claude-opus-4-6,2,study2_british_within,,zh,jsd,0.20873545110053365,0.5605218825340386
aggregate,human_alignment,anthropic,claude-opus-4-6,2,study2_british_within,,zh,tvd,0.36,0.76
aggregate,human_alignment,anthropic,claude-opus-4-6,2,study2_british_within,,zh,top1_match,1.0,1.0
aggregate,human_alignment,openai,glm-4-airx,1,study2_british_within,,en,jsd,0.2402999935573206,0.4540839548559569
aggregate,human_alignment,openai,glm-4-airx,1,study2_british_within,,en,tvd,0.3506666666666666,0.6000166666666666
aggregate,human_alignment,openai,glm-4-airx,1,study2_british_within,,en,top1_match,0.4666666666666667,0.9333333333333333
aggregate,human_alignment,openai,glm-4-airx,1,study2_british_within,,zh,jsd,0.23377386335894268,0.42377779138127025
aggregate,human_alignment,openai,glm-4-airx,1,study2_british_within,,zh,tvd,0.35061666666666663,0.5966666666666666
aggregate,human_alignment,openai,glm-4-airx,1,study2_british_within,,zh,top1_match,0.6,1.0
item,cross_lingual,anthropic,claude-opus-4-6,2,study2_british_within,study2_item_04,en_vs_zh,jsd,0.0,0.16919485510105411
item,cross_lingual,anthropic,claude-opus-4-6,2,study2_british_within,study2_item_04,en_vs_zh,tvd,0.0,0.30000000000000004
item,cross_lingual,anthropic,claude-opus-4-6,2,study2_british_within,study2_item_05,en_vs_zh,jsd,0.0,0.31127812445913283
item,cross_lingual,anthropic,claude-opus-4-6,2,study2_british_within,study2_item_05,en_vs_zh,tvd,0.0,0.5
item,cross_lingual,openai,glm-4-airx,1,study2_british_within,study2_item_01,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,openai,glm-4-airx,1,study2_british_within,study2_item_01,en_vs_zh,tvd,0.0,0.0
