scope,metric_family,provider,model,round_index,panel_id,item_id,prompt_language,metric,ci_low,ci_high
aggregate,cross_lingual,anthropic,claude-opus-4-6,2,study2_british_within,,en_vs_zh,jsd,0.0,0.16919485510105411
aggregate,cross_lingual,anthropic,claude-opus-4-6,2,study2_british_within,,en_vs_zh,tvd,0.0,0.30000000000000004
aggregate,cross_lingual,anthropic,claude-opus-4-6,2,study2_british_within,,en_vs_zh,top1_match,1.0,1.0
aggregate,cross_lingual,anthropic,claude-opus-4-6,2,study2_british_within,,en_vs_zh,flip_rate,0.0,0.0
aggregate,cross_lingual,openai,glm-4-flashx-250414,1,study2_british_within,,en_vs_zh,jsd,0.10171664666718853,0.3453795357988978
aggregate,cross_lingual,openai,glm-4-flashx-250414,1,study2_british_within,,en_vs_zh,tvd,0.1839666666666667,0.46270000000000006
aggregate,cross_lingual,openai,glm-4-flashx-250414,1,study2_british_within,,en_vs_zh,top1_match,0.6,1.0
aggregate,cross_lingual,openai,glm-4-flashx-250414,1,study2_british_within,,en_vs_zh,flip_rate,0.0,0.4
aggregate,human_alignment,anthropic,claude-opus-4-6,2,study2_british_within,,en,jsd,0.2653737423509377,0.7359181888160803
aggregate,human_alignment,anthropic,claude-opus-4-6,2,study2_british_within,,en,tvd,0.44,0.87
aggregate,human_alignment,anthropic,claude-opus-4-6,2,study2_british_within,,en,top1_match,0.0,1.0
aggregate,human_alignment,anthropic,claude-opus-4-6,2,study2_british_within,,zh,jsd,0.1328844336882528,0.49342260576014463
aggregate,human_alignment,anthropic,claude-opus-4-6,2,study2_british_within,,zh,tvd,0.23999999999999994,0.7
aggregate,human_alignment,anthropic,claude-opus-4-6,2,study2_british_within,,zh,top1_match,1.0,1.0
aggregate,human_alignment,openai,glm-4-flashx-250414,1,study2_british_within,,en,jsd,0.2636635578858763,0.5489001549632618
aggregate,human_alignment,openai,glm-4-flashx-250414,1,study2_british_within,,en,tvd,0.37661666666666666,0.6926833333333333
aggregate,human_alignment,openai,glm-4-flashx-250414,1,study2_british_within,,en,top1_match,0.4666666666666667,0.9333333333333333
aggregate,human_alignment,openai,glm-4-flashx-250414,1,study2_british_within,,zh,jsd,0.2660355263411473,0.5191136094610894
aggregate,human_alignment,openai,glm-4-flashx-250414,1,study2_british_within,,zh,tvd,0.38398333333333334,0.6553333333333332
aggregate,human_alignment,openai,glm-4-flashx-250414,1,study2_british_within,,zh,top1_match,0.5333333333333333,0.9333333333333333
item,cross_lingual,anthropic,claude-opus-4-6,2,study2_british_within,study2_item_02,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,anthropic,claude-opus-4-6,2,study2_british_within,study2_item_02,en_vs_zh,tvd,0.0,0.0
item,cross_lingual,anthropic,claude-opus-4-6,2,study2_british_within,study2_item_11,en_vs_zh,jsd,0.051899160321315516,0.3958156020033583
item,cross_lingual,anthropic,claude-opus-4-6,2,study2_british_within,study2_item_11,en_vs_zh,tvd,0.09999999999999999,0.6
item,cross_lingual,openai,glm-4-flashx-250414,1,study2_british_within,study2_item_01,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,openai,glm-4-flashx-250414,1,study2_british_within,study2_item_01,en_vs_zh,tvd,0.0,0.0
item,cross_lingual,openai,glm-4-flashx-250414,1,study2_british_within,study2_item_02,en_vs_zh,jsd,0.3821161586855006,0.6521353381074271
item,cross_lingual,openai,glm-4-flashx-250414,1,study2_british_within,study2_item_02,en_vs_zh,tvd,0.58,0.82
item,cross_lingual,openai,glm-4-flashx-250414,1,study2_british_within,study2_item_02,en_vs_zh,spearman,-0.39999999999999997,-0.19999999999999998
item,cross_lingual,openai,glm-4-flashx-250414,1,study2_british_within,study2_item_03,en_vs_zh,jsd,0.29507826148565797,0.5558948638737962
item,cross_lingual,openai,glm-4-flashx-250414,1,study2_british_within,study2_item_03,en_vs_zh,tvd,0.42000000000000004,0.72
item,cross_lingual,openai,glm-4-flashx-250414,1,study2_british_within,study2_item_03,en_vs_zh,spearman,-0.5526315789473686,0.2568915451961508
item,cross_lingual,openai,glm-4-flashx-250414,1,study2_british_within,study2_item_04,en_vs_zh,jsd,0.19729178755182827,0.4175145662693608
item,cross_lingual,openai,glm-4-flashx-250414,1,study2_british_within,study2_item_04,en_vs_zh,tvd,0.33999999999999997,0.62
item,cross_lingual,openai,glm-4-flashx-250414,1,study2_british_within,study2_item_04,en_vs_zh,spearman,0.13363062095621223,0.7071067811865475
item,cross_lingual,openai,glm-4-flashx-250414,1,study2_british_within,study2_item_05,en_vs_zh,jsd,0.45118097286511705,0.6603103456309708
item,cross_lingual,openai,glm-4-flashx-250414,1,study2_british_within,study2_item_05,en_vs_zh,tvd,0.5,0.76
item,cross_lingual,openai,glm-4-flashx-250414,1,study2_british_within,study2_item_05,en_vs_zh,spearman,-0.8333333333333335,0.316227766016838
item,cross_lingual,openai,glm-4-flashx-250414,1,study2_british_within,study2_item_06,en_vs_zh,jsd,0.05080426020703092,0.2366017699285572
item,cross_lingual,openai,glm-4-flashx-250414,1,study2_british_within,study2_item_06,en_vs_zh,tvd,0.11999999999999997,0.38
item,cross_lingual,openai,glm-4-flashx-250414,1,study2_british_within,study2_item_06,en_vs_zh,spearman,0.5,1.0
item,cross_lingual,openai,glm-4-flashx-250414,1,study2_british_within,study2_item_07,en_vs_zh,jsd,0.0006383465628790417,0.11983220668354527
item,cross_lingual,openai,glm-4-flashx-250414,1,study2_british_within,study2_item_07,en_vs_zh,tvd,0.02000000000000001,0.26
item,cross_lingual,openai,glm-4-flashx-250414,1,study2_british_within,study2_item_08,en_vs_zh,jsd,0.10803154614560012,0.2803220841364248
item,cross_lingual,openai,glm-4-flashx-250414,1,study2_british_within,study2_item_08,en_vs_zh,tvd,0.19999999999999998,0.45999999999999996
item,cross_lingual,openai,glm-4-flashx-250414,1,study2_british_within,study2_item_09,en_vs_zh,jsd,0.13211787985535922,0.3232687913014736
item,cross_lingual,openai,glm-4-flashx-250414,1,study2_british_within,study2_item_09,en_vs_zh,tvd,0.24,0.52
