scope,metric_family,provider,model,round_index,panel_id,item_id,prompt_language,metric,ci_low,ci_high
aggregate,cross_lingual,anthropic,claude-opus-4-6,2,study2_british_within,,en_vs_zh,jsd,0.0,0.23645279766002797
aggregate,cross_lingual,anthropic,claude-opus-4-6,2,study2_british_within,,en_vs_zh,tvd,0.0,0.4
aggregate,cross_lingual,anthropic,claude-opus-4-6,2,study2_british_within,,en_vs_zh,top1_match,1.0,1.0
aggregate,cross_lingual,anthropic,claude-opus-4-6,2,study2_british_within,,en_vs_zh,flip_rate,0.0,0.0
aggregate,cross_lingual,openai,kimi-for-coding,1,study2_british_within,,en_vs_zh,jsd,0.023797918234782937,0.15571639969911805
aggregate,cross_lingual,openai,kimi-for-coding,1,study2_british_within,,en_vs_zh,tvd,0.048,0.2747
aggregate,cross_lingual,openai,kimi-for-coding,1,study2_british_within,,en_vs_zh,top1_match,0.6666666666666666,1.0
aggregate,cross_lingual,openai,kimi-for-coding,1,study2_british_within,,en_vs_zh,flip_rate,0.0,0.3333333333333333
aggregate,cross_lingual,openai,kimi-for-coding,2,study2_british_within,,en_vs_zh,jsd,0.0,0.6561079720711209
aggregate,cross_lingual,openai,kimi-for-coding,2,study2_british_within,,en_vs_zh,tvd,0.0,0.8
aggregate,cross_lingual,openai,kimi-for-coding,2,study2_british_within,,en_vs_zh,top1_match,0.0,1.0
aggregate,cross_lingual,openai,kimi-for-coding,2,study2_british_within,,en_vs_zh,flip_rate,0.0,1.0
aggregate,human_alignment,anthropic,claude-opus-4-6,2,study2_british_within,,en,jsd,0.2653737423509377,0.3273236044950171
aggregate,human_alignment,anthropic,claude-opus-4-6,2,study2_british_within,,en,tvd,0.44,0.52
aggregate,human_alignment,anthropic,claude-opus-4-6,2,study2_british_within,,en,top1_match,1.0,1.0
aggregate,human_alignment,anthropic,claude-opus-4-6,2,study2_british_within,,zh,jsd,0.14500882946834592,0.3273236044950171
aggregate,human_alignment,anthropic,claude-opus-4-6,2,study2_british_within,,zh,tvd,0.23999999999999996,0.52
aggregate,human_alignment,anthropic,claude-opus-4-6,2,study2_british_within,,zh,top1_match,1.0,1.0
aggregate,human_alignment,openai,kimi-for-coding,1,study2_british_within,,en,jsd,0.2379957673277503,0.4954495508351291
aggregate,human_alignment,openai,kimi-for-coding,1,study2_british_within,,en,tvd,0.35998333333333327,0.6466833333333334
aggregate,human_alignment,openai,kimi-for-coding,1,study2_british_within,,en,top1_match,0.6666666666666666,1.0
aggregate,human_alignment,openai,kimi-for-coding,1,study2_british_within,,zh,jsd,0.2199019802082684,0.44388532045748197
aggregate,human_alignment,openai,kimi-for-coding,1,study2_british_within,,zh,tvd,0.35131666666666667,0.6186999999999999
aggregate,human_alignment,openai,kimi-for-coding,1,study2_british_within,,zh,top1_match,0.4666666666666667,0.9333333333333333
aggregate,human_alignment,openai,kimi-for-coding,2,study2_british_within,,en,jsd,0.2653737423509377,0.3601617182249889
aggregate,human_alignment,openai,kimi-for-coding,2,study2_british_within,,en,tvd,0.44,0.51
aggregate,human_alignment,openai,kimi-for-coding,2,study2_british_within,,en,top1_match,1.0,1.0
aggregate,human_alignment,openai,kimi-for-coding,2,study2_british_within,,zh,jsd,0.2653737423509377,0.908122417847854
aggregate,human_alignment,openai,kimi-for-coding,2,study2_british_within,,zh,tvd,0.44,0.97
aggregate,human_alignment,openai,kimi-for-coding,2,study2_british_within,,zh,top1_match,0.0,1.0
item,cross_lingual,anthropic,claude-opus-4-6,2,study2_british_within,study2_item_09,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,anthropic,claude-opus-4-6,2,study2_british_within,study2_item_09,en_vs_zh,tvd,0.0,0.0
item,cross_lingual,anthropic,claude-opus-4-6,2,study2_british_within,study2_item_11,en_vs_zh,jsd,0.051899160321315516,0.49342260576014463
item,cross_lingual,anthropic,claude-opus-4-6,2,study2_british_within,study2_item_11,en_vs_zh,tvd,0.09999999999999999,0.7
item,cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_01,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_01,en_vs_zh,tvd,0.0,0.0
item,cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_02,en_vs_zh,jsd,0.01007286462500093,0.08502441288198997
item,cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_02,en_vs_zh,tvd,0.02000000000000001,0.16000000000000003
item,cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_02,en_vs_zh,spearman,0.7254762501100117,1.0
item,cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_03,en_vs_zh,jsd,0.10803154614560011,0.26537374235093775
item,cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_03,en_vs_zh,tvd,0.19999999999999998,0.44
item,cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_03,en_vs_zh,spearman,0.6642111641550715,0.8660254037844387
item,cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_04,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_04,en_vs_zh,tvd,0.0,0.0
item,cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_05,en_vs_zh,jsd,0.1368360351303073,0.327323604495017
item,cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_05,en_vs_zh,tvd,0.26,0.54
item,cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_05,en_vs_zh,spearman,0.0,0.8660254037844387
item,cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_06,en_vs_zh,jsd,0.01007286462500093,0.09643129419996313
item,cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_06,en_vs_zh,tvd,0.02000000000000001,0.18000000000000002
item,cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_07,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_07,en_vs_zh,tvd,0.0,0.0
item,cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_08,en_vs_zh,jsd,0.010279759564375303,0.14418084452611774
item,cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_08,en_vs_zh,tvd,0.0595,0.28
item,cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_08,en_vs_zh,spearman,0.8660254037844387,1.0
item,cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_09,en_vs_zh,jsd,0.14009640233790552,0.42442208379720214
item,cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_09,en_vs_zh,tvd,0.4,0.7000000000000001
item,cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_09,en_vs_zh,spearman,0.5,0.8749999999999999
item,cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_10,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_10,en_vs_zh,tvd,0.0,0.0
item,cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_11,en_vs_zh,jsd,0.32317251207458475,0.6936956313574918
item,cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_11,en_vs_zh,tvd,0.6200000000000001,0.88
item,cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_12,en_vs_zh,jsd,0.030410024497995035,0.13184072559510332
item,cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_12,en_vs_zh,tvd,0.05950000000000005,0.24
item,cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_13,en_vs_zh,jsd,0.12635243224699097,0.3187217218519978
item,cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_13,en_vs_zh,tvd,0.21999999999999997,0.52
item,cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_13,en_vs_zh,spearman,-0.09168314783697645,0.4977344218653563
item,cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_14,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_14,en_vs_zh,tvd,0.0,0.0
item,cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_15,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_15,en_vs_zh,tvd,0.0,0.0
item,cross_lingual,openai,kimi-for-coding,2,study2_british_within,study2_item_09,en_vs_zh,jsd,0.42118043385733067,1.0
item,cross_lingual,openai,kimi-for-coding,2,study2_british_within,study2_item_09,en_vs_zh,tvd,0.6,1.0
item,cross_lingual,openai,kimi-for-coding,2,study2_british_within,study2_item_09,en_vs_zh,spearman,-0.9486832980505139,0.0
item,cross_lingual,openai,kimi-for-coding,2,study2_british_within,study2_item_11,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,openai,kimi-for-coding,2,study2_british_within,study2_item_11,en_vs_zh,tvd,0.0,0.0
item,human_alignment,anthropic,claude-opus-4-6,2,study2_british_within,study2_item_09,en,jsd,0.3273236044950171,0.3273236044950171
item,human_alignment,anthropic,claude-opus-4-6,2,study2_british_within,study2_item_09,en,tvd,0.52,0.52
item,human_alignment,anthropic,claude-opus-4-6,2,study2_british_within,study2_item_09,en,spearman,0.42386058400941934,0.42386058400941934
item,human_alignment,anthropic,claude-opus-4-6,2,study2_british_within,study2_item_09,zh,jsd,0.3273236044950171,0.3273236044950171
item,human_alignment,anthropic,claude-opus-4-6,2,study2_british_within,study2_item_09,zh,tvd,0.52,0.52
item,human_alignment,anthropic,claude-opus-4-6,2,study2_british_within,study2_item_09,zh,spearman,0.42386058400941934,0.42386058400941934
item,human_alignment,anthropic,claude-opus-4-6,2,study2_british_within,study2_item_11,en,jsd,0.2653737423509377,0.2653737423509377
item,human_alignment,anthropic,claude-opus-4-6,2,study2_british_within,study2_item_11,en,tvd,0.44,0.44
item,human_alignment,anthropic,claude-opus-4-6,2,study2_british_within,study2_item_11,en,spearman,0.4952605565436486,0.4952605565436486
item,human_alignment,anthropic,claude-opus-4-6,2,study2_british_within,study2_item_11,zh,jsd,0.1328844336882528,0.2549070950666257
item,human_alignment,anthropic,claude-opus-4-6,2,study2_british_within,study2_item_11,zh,tvd,0.23999999999999994,0.5
