metric_family,provider,model,round_index,panel_id,item_id,item_number,human_top1_probability,consensus_bucket,prompt_language,jsd,tvd,top1_match,flip_rate,spearman,successful_samples,expected_samples,completion_rate,en_successful_samples,zh_successful_samples
cross_lingual,anthropic,claude-opus-4-6,2,study2_british_within,study2_item_11,11,0.56,medium,en_vs_zh,0.014378460478078628,0.09999999999999999,1,0.0,,10,10,1.0,10.0,10.0
cross_lingual,openai,mimo-v2-omni,1,study2_british_within,study2_item_01,1,0.9,high,en_vs_zh,0.0,0.0,1,0.0,,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,mimo-v2-omni,1,study2_british_within,study2_item_02,2,0.3,low,en_vs_zh,0.09643129419996313,0.18000000000000002,1,0.0,,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,mimo-v2-omni,1,study2_british_within,study2_item_03,3,0.36,medium,en_vs_zh,0.10733648853605754,0.24,1,0.0,0.5216720300383332,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,mimo-v2-omni,1,study2_british_within,study2_item_04,4,0.24,low,en_vs_zh,0.062764486510794,0.12,1,0.0,,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,mimo-v2-omni,1,study2_british_within,study2_item_05,5,0.64,medium,en_vs_zh,0.022600500824964787,0.08000000000000003,1,0.0,1.0,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,mimo-v2-omni,1,study2_british_within,study2_item_06,6,0.44,medium,en_vs_zh,0.01007286462500093,0.02000000000000001,1,0.0,,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,mimo-v2-omni,1,study2_british_within,study2_item_07,7,0.28,low,en_vs_zh,0.020294448000613266,0.04000000000000002,1,0.0,,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,mimo-v2-omni,1,study2_british_within,study2_item_08,8,0.33,low,en_vs_zh,0.02513179164345846,0.07999999999999997,1,0.0,1.0,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,mimo-v2-omni,1,study2_british_within,study2_item_09,9,0.48,medium,en_vs_zh,0.0,0.0,1,0.0,,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,mimo-v2-omni,1,study2_british_within,study2_item_10,10,0.92,high,en_vs_zh,0.0,0.0,1,0.0,,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,mimo-v2-omni,1,study2_british_within,study2_item_11,11,0.56,medium,en_vs_zh,0.20200964069572336,0.5,0,1.0,0.5,50,30,1.6666666666666667,50.0,50.0
