scope,metric_family,provider,model,round_index,panel_id,item_id,prompt_language,metric,ci_low,ci_high
aggregate,cross_lingual,openai,mimo-v2-pro,1,study2_british_within,,en_vs_zh,jsd,0.0058925459394748025,0.040089077696601944
aggregate,cross_lingual,openai,mimo-v2-pro,1,study2_british_within,,en_vs_zh,tvd,0.011966666666666672,0.08136666666666664
aggregate,cross_lingual,openai,mimo-v2-pro,1,study2_british_within,,en_vs_zh,top1_match,1.0,1.0
aggregate,cross_lingual,openai,mimo-v2-pro,1,study2_british_within,,en_vs_zh,flip_rate,0.0,0.0
aggregate,human_alignment,openai,mimo-v2-pro,1,study2_british_within,,en,jsd,0.23460382095804105,0.46482021898617465
aggregate,human_alignment,openai,mimo-v2-pro,1,study2_british_within,,en,tvd,0.3586,0.6313833333333334
aggregate,human_alignment,openai,mimo-v2-pro,1,study2_british_within,,en,top1_match,0.6666666666666666,1.0
aggregate,human_alignment,openai,mimo-v2-pro,1,study2_british_within,,zh,jsd,0.2185896042162491,0.41903195994517806
aggregate,human_alignment,openai,mimo-v2-pro,1,study2_british_within,,zh,tvd,0.34600000000000003,0.6106833333333334
aggregate,human_alignment,openai,mimo-v2-pro,1,study2_british_within,,zh,top1_match,0.6666666666666666,1.0
item,cross_lingual,openai,mimo-v2-pro,1,study2_british_within,study2_item_01,en_vs_zh,jsd,0.0,0.051899160321315516
item,cross_lingual,openai,mimo-v2-pro,1,study2_british_within,study2_item_01,en_vs_zh,tvd,0.0,0.09999999999999999
item,cross_lingual,openai,mimo-v2-pro,1,study2_british_within,study2_item_02,en_vs_zh,jsd,0.0,0.03066939825433814
item,cross_lingual,openai,mimo-v2-pro,1,study2_british_within,study2_item_02,en_vs_zh,tvd,0.0,0.060000000000000026
item,cross_lingual,openai,mimo-v2-pro,1,study2_british_within,study2_item_03,en_vs_zh,jsd,0.10414520912549677,0.30440083577683846
item,cross_lingual,openai,mimo-v2-pro,1,study2_british_within,study2_item_03,en_vs_zh,tvd,0.18,0.48
item,cross_lingual,openai,mimo-v2-pro,1,study2_british_within,study2_item_03,en_vs_zh,spearman,0.019569238349903845,0.6676136087193203
item,cross_lingual,openai,mimo-v2-pro,1,study2_british_within,study2_item_04,en_vs_zh,jsd,0.0,0.051899160321315516
item,cross_lingual,openai,mimo-v2-pro,1,study2_british_within,study2_item_04,en_vs_zh,tvd,0.0,0.09999999999999999
item,cross_lingual,openai,mimo-v2-pro,1,study2_british_within,study2_item_04,en_vs_zh,spearman,0.8660254037844387,1.0
item,cross_lingual,openai,mimo-v2-pro,1,study2_british_within,study2_item_05,en_vs_zh,jsd,0.051720275474402486,0.17515044391449328
item,cross_lingual,openai,mimo-v2-pro,1,study2_british_within,study2_item_05,en_vs_zh,tvd,0.08,0.3
item,cross_lingual,openai,mimo-v2-pro,1,study2_british_within,study2_item_05,en_vs_zh,spearman,0.4103913408340617,0.9486832980505139
item,cross_lingual,openai,mimo-v2-pro,1,study2_british_within,study2_item_06,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,openai,mimo-v2-pro,1,study2_british_within,study2_item_06,en_vs_zh,tvd,0.0,0.0
item,cross_lingual,openai,mimo-v2-pro,1,study2_british_within,study2_item_07,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,openai,mimo-v2-pro,1,study2_british_within,study2_item_07,en_vs_zh,tvd,0.0,0.0
item,cross_lingual,openai,mimo-v2-pro,1,study2_british_within,study2_item_08,en_vs_zh,jsd,0.0,0.05068349548827765
item,cross_lingual,openai,mimo-v2-pro,1,study2_british_within,study2_item_08,en_vs_zh,tvd,0.0,0.07999999999999997
item,cross_lingual,openai,mimo-v2-pro,1,study2_british_within,study2_item_08,en_vs_zh,spearman,0.5,0.5
item,cross_lingual,openai,mimo-v2-pro,1,study2_british_within,study2_item_09,en_vs_zh,jsd,0.19020164356721364,0.41119450757871245
item,cross_lingual,openai,mimo-v2-pro,1,study2_british_within,study2_item_09,en_vs_zh,tvd,0.31999999999999995,0.6
item,cross_lingual,openai,mimo-v2-pro,1,study2_british_within,study2_item_09,en_vs_zh,spearman,-0.06891221596971295,0.7071067811865475
item,cross_lingual,openai,mimo-v2-pro,1,study2_british_within,study2_item_10,en_vs_zh,jsd,0.0,0.03066939825433814
item,cross_lingual,openai,mimo-v2-pro,1,study2_british_within,study2_item_10,en_vs_zh,tvd,0.0,0.060000000000000026
item,cross_lingual,openai,mimo-v2-pro,1,study2_british_within,study2_item_11,en_vs_zh,jsd,0.0,0.03066939825433814
item,cross_lingual,openai,mimo-v2-pro,1,study2_british_within,study2_item_11,en_vs_zh,tvd,0.0,0.060000000000000026
item,cross_lingual,openai,mimo-v2-pro,1,study2_british_within,study2_item_12,en_vs_zh,jsd,0.01007286462500093,0.08125491297411391
item,cross_lingual,openai,mimo-v2-pro,1,study2_british_within,study2_item_12,en_vs_zh,tvd,0.02,0.11999999999999998
item,cross_lingual,openai,mimo-v2-pro,1,study2_british_within,study2_item_12,en_vs_zh,spearman,0.5,0.5
item,cross_lingual,openai,mimo-v2-pro,1,study2_british_within,study2_item_13,en_vs_zh,jsd,0.10952546258855421,0.3647355509895567
item,cross_lingual,openai,mimo-v2-pro,1,study2_british_within,study2_item_13,en_vs_zh,tvd,0.3,0.64
item,cross_lingual,openai,mimo-v2-pro,1,study2_british_within,study2_item_13,en_vs_zh,spearman,0.2893138981203109,0.7798493336311721
