scope,metric_family,provider,model,round_index,panel_id,item_id,prompt_language,metric,ci_low,ci_high
aggregate,cross_lingual,anthropic,claude-opus-4-6,2,study2_british_within,,en_vs_zh,jsd,0.0,0.10803154614560012
aggregate,cross_lingual,anthropic,claude-opus-4-6,2,study2_british_within,,en_vs_zh,tvd,0.0,0.19999999999999998
aggregate,cross_lingual,anthropic,claude-opus-4-6,2,study2_british_within,,en_vs_zh,top1_match,1.0,1.0
aggregate,cross_lingual,anthropic,claude-opus-4-6,2,study2_british_within,,en_vs_zh,flip_rate,0.0,0.0
aggregate,cross_lingual,openai,qwen3.5-plus,1,study2_british_within,,en_vs_zh,jsd,0.05159525093099225,0.33096790269650955
aggregate,cross_lingual,openai,qwen3.5-plus,1,study2_british_within,,en_vs_zh,tvd,0.0933,0.4160666666666667
aggregate,cross_lingual,openai,qwen3.5-plus,1,study2_british_within,,en_vs_zh,top1_match,0.4666666666666667,0.9333333333333333
aggregate,cross_lingual,openai,qwen3.5-plus,1,study2_british_within,,en_vs_zh,flip_rate,0.06666666666666667,0.5333333333333333
aggregate,cross_lingual,openai,qwen3.5-plus,2,study2_british_within,,en_vs_zh,jsd,0.012974790080328879,0.37764324052993903
aggregate,cross_lingual,openai,qwen3.5-plus,2,study2_british_within,,en_vs_zh,tvd,0.049999999999999996,0.55
aggregate,cross_lingual,openai,qwen3.5-plus,2,study2_british_within,,en_vs_zh,top1_match,0.25,1.0
aggregate,cross_lingual,openai,qwen3.5-plus,2,study2_british_within,,en_vs_zh,flip_rate,0.0,0.75
aggregate,human_alignment,anthropic,claude-opus-4-6,2,study2_british_within,,en,jsd,0.2963486734229774,0.6200298360848043
aggregate,human_alignment,anthropic,claude-opus-4-6,2,study2_british_within,,en,tvd,0.48,0.7825
aggregate,human_alignment,anthropic,claude-opus-4-6,2,study2_british_within,,en,top1_match,0.25,1.0
aggregate,human_alignment,anthropic,claude-opus-4-6,2,study2_british_within,,zh,jsd,0.13535588408084331,0.5605218825340386
aggregate,human_alignment,anthropic,claude-opus-4-6,2,study2_british_within,,zh,tvd,0.24,0.7600000000000001
aggregate,human_alignment,anthropic,claude-opus-4-6,2,study2_british_within,,zh,top1_match,1.0,1.0
aggregate,human_alignment,openai,qwen3.5-plus,1,study2_british_within,,en,jsd,0.22135498729505754,0.40040463929255415
aggregate,human_alignment,openai,qwen3.5-plus,1,study2_british_within,,en,tvd,0.3453,0.5840166666666667
aggregate,human_alignment,openai,qwen3.5-plus,1,study2_british_within,,en,top1_match,0.6666666666666666,1.0
