metric_family,provider,model,round_index,panel_id,item_id,item_number,human_top1_probability,consensus_bucket,prompt_language,jsd,tvd,top1_match,flip_rate,spearman,successful_samples,expected_samples,completion_rate,en_successful_samples,zh_successful_samples
cross_lingual,anthropic,claude-opus-4-6,2,study2_british_within,study2_item_09,9,0.48,medium,en_vs_zh,0.0,0.0,1,0.0,,10,10,1.0,10.0,10.0
cross_lingual,anthropic,claude-opus-4-6,2,study2_british_within,study2_item_11,11,0.56,medium,en_vs_zh,0.23645279766002797,0.4,1,0.0,,10,10,1.0,10.0,10.0
cross_lingual,openai,qwen3.6-plus,1,study2_british_within,study2_item_01,1,0.9,high,en_vs_zh,0.0,0.0,1,0.0,,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,qwen3.6-plus,1,study2_british_within,study2_item_02,2,0.3,low,en_vs_zh,0.03066939825433814,0.060000000000000026,1,0.0,1.0,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,qwen3.6-plus,1,study2_british_within,study2_item_03,3,0.36,medium,en_vs_zh,0.1565134063627906,0.28,1,0.0,0.7071067811865475,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,qwen3.6-plus,1,study2_british_within,study2_item_04,4,0.24,low,en_vs_zh,0.02,0.02,1,0.0,0.5,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,qwen3.6-plus,1,study2_british_within,study2_item_05,5,0.64,medium,en_vs_zh,0.1565134063627906,0.28,1,0.0,,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,qwen3.6-plus,1,study2_british_within,study2_item_06,6,0.44,medium,en_vs_zh,0.0,0.0,1,0.0,,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,qwen3.6-plus,1,study2_british_within,study2_item_07,7,0.28,low,en_vs_zh,0.0,0.0,1,0.0,,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,qwen3.6-plus,1,study2_british_within,study2_item_08,8,0.33,low,en_vs_zh,0.07380424507879542,0.14,1,0.0,0.7745966692414834,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,qwen3.6-plus,1,study2_british_within,study2_item_09,9,0.48,medium,en_vs_zh,0.1094241396946089,0.36,0,1.0,0.5,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,qwen3.6-plus,1,study2_british_within,study2_item_10,10,0.92,high,en_vs_zh,0.0,0.0,1,0.0,,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,qwen3.6-plus,1,study2_british_within,study2_item_11,11,0.56,medium,en_vs_zh,0.2958073480446818,0.6000000000000001,0,1.0,,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,qwen3.6-plus,1,study2_british_within,study2_item_12,12,0.3,low,en_vs_zh,0.051899160321315516,0.09999999999999999,1,0.0,,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,qwen3.6-plus,1,study2_british_within,study2_item_13,13,0.83,high,en_vs_zh,0.0,0.0,1,0.0,,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,qwen3.6-plus,1,study2_british_within,study2_item_14,14,0.74,high,en_vs_zh,0.0,0.0,1,0.0,,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,qwen3.6-plus,1,study2_british_within,study2_item_15,15,0.88,high,en_vs_zh,0.0,0.0,1,0.0,,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,qwen3.6-plus,2,study2_british_within,study2_item_09,9,0.48,medium,en_vs_zh,0.007299156760473963,0.09999999999999998,1,0.0,,10,10,1.0,10.0,10.0
cross_lingual,openai,qwen3.6-plus,2,study2_british_within,study2_item_11,11,0.56,medium,en_vs_zh,0.19116495692878083,0.5,0,1.0,,10,10,1.0,10.0,10.0
human_alignment,anthropic,claude-opus-4-6,2,study2_british_within,study2_item_09,9,0.48,medium,en,0.3273236044950171,0.52,1,,0.42386058400941934,10,10,1.0,,
