metric_family,provider,model,round_index,panel_id,item_id,item_number,human_top1_probability,consensus_bucket,prompt_language,jsd,tvd,top1_match,flip_rate,spearman,successful_samples,expected_samples,completion_rate,en_successful_samples,zh_successful_samples
cross_lingual,openai,K2.6-code-preview,1,study2_british_within,study2_item_01,1,0.9,high,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,K2.6-code-preview,1,study2_british_within,study2_item_02,2,0.3,low,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,K2.6-code-preview,1,study2_british_within,study2_item_03,3,0.36,medium,en_vs_zh,0.01007286462500093,0.02000000000000001,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,K2.6-code-preview,1,study2_british_within,study2_item_04,4,0.24,low,en_vs_zh,0.5149577839754269,0.72,0,1.0,0.0,50,50,1.0,50.0,50.0
cross_lingual,openai,K2.6-code-preview,1,study2_british_within,study2_item_05,5,0.64,medium,en_vs_zh,0.12318324648596311,0.3,1,0.0,1.0,50,50,1.0,50.0,50.0
cross_lingual,openai,K2.6-code-preview,1,study2_british_within,study2_item_06,6,0.44,medium,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,K2.6-code-preview,1,study2_british_within,study2_item_07,7,0.28,low,en_vs_zh,0.0,0.0,1,0.0,,49,50,0.98,49.0,50.0
cross_lingual,openai,K2.6-code-preview,1,study2_british_within,study2_item_08,8,0.33,low,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,K2.6-code-preview,1,study2_british_within,study2_item_09,9,0.48,medium,en_vs_zh,0.2747831599153526,0.42,1,0.0,0.39999999999999997,50,50,1.0,50.0,50.0
cross_lingual,openai,K2.6-code-preview,1,study2_british_within,study2_item_10,10,0.92,high,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,K2.6-code-preview,1,study2_british_within,study2_item_11,11,0.56,medium,en_vs_zh,0.0,0.0,1,0.0,,49,50,0.98,49.0,50.0
cross_lingual,openai,K2.6-code-preview,1,study2_british_within,study2_item_12,12,0.3,low,en_vs_zh,0.13184072559510332,0.24,1,0.0,,49,50,0.98,49.0,50.0
cross_lingual,openai,K2.6-code-preview,1,study2_british_within,study2_item_13,13,0.83,high,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,K2.6-code-preview,1,study2_british_within,study2_item_14,14,0.74,high,en_vs_zh,0.0,0.0,1,0.0,,49,50,0.98,49.0,50.0
cross_lingual,openai,K2.6-code-preview,1,study2_british_within,study2_item_15,15,0.88,high,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,K2.6-code-preview,2,study2_british_within,study2_item_04,4,0.24,low,en_vs_zh,0.45328338368767396,0.5,1,0.0,0.316227766016838,10,10,1.0,10.0,10.0
human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_01,1,0.9,high,en,0.051899160321315516,0.09999999999999999,1,,0.75,50,50,1.0,,
human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_01,1,0.9,high,zh,0.051899160321315516,0.09999999999999999,1,,0.75,50,50,1.0,,
human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_02,2,0.3,low,en,0.49342260576014463,0.7,1,,0.37582301400141443,50,50,1.0,,
human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_02,2,0.3,low,zh,0.49342260576014463,0.7,1,,0.37582301400141443,50,50,1.0,,
human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_03,3,0.36,medium,en,0.9289911704818996,0.98,0,,-0.03200484803483466,50,50,1.0,,
human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_03,3,0.36,medium,zh,0.905005963867723,0.96,0,,0.04060359359147241,50,50,1.0,,
human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_04,4,0.24,low,en,0.34121343636021256,0.53,0,,0.7471025226155217,50,50,1.0,,
human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_04,4,0.24,low,zh,0.5605218825340386,0.76,1,,0.4633239167994182,50,50,1.0,,
human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_05,5,0.64,medium,en,0.63088667243945,0.8099999999999999,0,,0.5814536901762849,50,50,1.0,,
human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_05,5,0.64,medium,zh,0.44599000537626354,0.7200000000000001,0,,0.8188456017066091,50,50,1.0,,
human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_06,6,0.44,medium,en,0.36065704994910286,0.56,1,,0.422936920641326,50,50,1.0,,
human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_06,6,0.44,medium,zh,0.36065704994910286,0.56,1,,0.422936920641326,50,50,1.0,,
human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_07,7,0.28,low,en,0.5149577839754269,0.72,1,,0.3473009417599612,49,50,0.98,,
human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_07,7,0.28,low,zh,0.5149577839754269,0.72,1,,0.3473009417599612,50,50,1.0,,
human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_08,8,0.33,low,en,0.462490304973216,0.6699999999999999,1,,0.3565309248281141,50,50,1.0,,
human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_08,8,0.33,low,zh,0.462490304973216,0.6699999999999999,1,,0.3565309248281141,50,50,1.0,,
human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_09,9,0.48,medium,en,0.47984294610484524,0.55,0,,0.34045897409596126,50,50,1.0,,
human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_09,9,0.48,medium,zh,0.9245170190833372,0.97,0,,-0.11582757668136048,50,50,1.0,,
human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_10,10,0.92,high,en,0.04120259398127841,0.07999999999999997,1,,0.6956083436402525,50,50,1.0,,
human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_10,10,0.92,high,zh,0.04120259398127841,0.07999999999999997,1,,0.6956083436402525,50,50,1.0,,
human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_11,11,0.56,medium,en,0.2653737423509377,0.44,1,,0.4952605565436486,49,50,0.98,,
human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_11,11,0.56,medium,zh,0.2653737423509377,0.44,1,,0.4952605565436486,50,50,1.0,,
human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_12,12,0.3,low,en,0.49342260576014474,0.7,1,,0.3556953258743536,49,50,0.98,,
human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_12,12,0.3,low,zh,0.32576155700641424,0.5,1,,0.4942801534079393,50,50,1.0,,
human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_13,13,0.83,high,en,0.09070410686643712,0.17,1,,0.7745966692414834,50,50,1.0,,
human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_13,13,0.83,high,zh,0.09070410686643712,0.17,1,,0.7745966692414834,50,50,1.0,,
human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_14,14,0.74,high,en,0.14406499878168008,0.26,1,,0.5720775535473553,49,50,0.98,,
human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_14,14,0.74,high,zh,0.14406499878168008,0.26,1,,0.5720775535473553,50,50,1.0,,
human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_15,15,0.88,high,en,0.062764486510794,0.12,1,,0.7905694150420948,50,50,1.0,,
human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_15,15,0.88,high,zh,0.062764486510794,0.12,1,,0.7905694150420948,50,50,1.0,,
human_alignment,openai,K2.6-code-preview,2,study2_british_within,study2_item_04,4,0.24,low,en,0.354193421614577,0.55,1,,0.6344324016567203,10,10,1.0,,
human_alignment,openai,K2.6-code-preview,2,study2_british_within,study2_item_04,4,0.24,low,zh,0.5669724651247756,0.7200000000000001,1,,0.13176435252504787,10,10,1.0,,
