scope,metric_family,provider,model,round_index,panel_id,item_id,prompt_language,metric,ci_low,ci_high
aggregate,cross_lingual,openai,MiniMax-M2.7-highspeed,1,study2_british_within,,en_vs_zh,jsd,0.008631358289909834,0.11216817818740643
aggregate,cross_lingual,openai,MiniMax-M2.7-highspeed,1,study2_british_within,,en_vs_zh,tvd,0.020000000000000004,0.20266666666666666
aggregate,cross_lingual,openai,MiniMax-M2.7-highspeed,1,study2_british_within,,en_vs_zh,top1_match,0.6666666666666666,1.0
aggregate,cross_lingual,openai,MiniMax-M2.7-highspeed,1,study2_british_within,,en_vs_zh,flip_rate,0.0,0.3333333333333333
aggregate,human_alignment,openai,MiniMax-M2.7-highspeed,1,study2_british_within,,en,jsd,0.2346569423275734,0.4874229405144299
aggregate,human_alignment,openai,MiniMax-M2.7-highspeed,1,study2_british_within,,en,tvd,0.3573166666666666,0.6347499999999998
aggregate,human_alignment,openai,MiniMax-M2.7-highspeed,1,study2_british_within,,en,top1_match,0.6666666666666666,1.0
aggregate,human_alignment,openai,MiniMax-M2.7-highspeed,1,study2_british_within,,zh,jsd,0.2398368322393925,0.45029103441355406
aggregate,human_alignment,openai,MiniMax-M2.7-highspeed,1,study2_british_within,,zh,tvd,0.36995,0.6327333333333333
aggregate,human_alignment,openai,MiniMax-M2.7-highspeed,1,study2_british_within,,zh,top1_match,0.4666666666666667,0.9333333333333333
aggregate,human_alignment,openai,MiniMax-M2.7-highspeed,2,study2_british_within,,en,jsd,0.16107696843389682,0.4068178878812928
aggregate,human_alignment,openai,MiniMax-M2.7-highspeed,2,study2_british_within,,en,tvd,0.33999999999999997,0.5
aggregate,human_alignment,openai,MiniMax-M2.7-highspeed,2,study2_british_within,,en,top1_match,1.0,1.0
item,cross_lingual,openai,MiniMax-M2.7-highspeed,1,study2_british_within,study2_item_01,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,openai,MiniMax-M2.7-highspeed,1,study2_british_within,study2_item_01,en_vs_zh,tvd,0.0,0.0
item,cross_lingual,openai,MiniMax-M2.7-highspeed,1,study2_british_within,study2_item_02,en_vs_zh,jsd,0.0,0.050075932720244076
item,cross_lingual,openai,MiniMax-M2.7-highspeed,1,study2_british_within,study2_item_02,en_vs_zh,tvd,0.0,0.07999999999999996
item,cross_lingual,openai,MiniMax-M2.7-highspeed,1,study2_british_within,study2_item_02,en_vs_zh,spearman,0.5,0.5
item,cross_lingual,openai,MiniMax-M2.7-highspeed,1,study2_british_within,study2_item_03,en_vs_zh,jsd,0.0663391435810832,0.22294989522756822
item,cross_lingual,openai,MiniMax-M2.7-highspeed,1,study2_british_within,study2_item_03,en_vs_zh,tvd,0.13999999999999996,0.3804999999999996
item,cross_lingual,openai,MiniMax-M2.7-highspeed,1,study2_british_within,study2_item_03,en_vs_zh,spearman,0.051298917604257706,0.7908790563797162
item,cross_lingual,openai,MiniMax-M2.7-highspeed,1,study2_british_within,study2_item_04,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,openai,MiniMax-M2.7-highspeed,1,study2_british_within,study2_item_04,en_vs_zh,tvd,0.0,0.0
item,cross_lingual,openai,MiniMax-M2.7-highspeed,1,study2_british_within,study2_item_05,en_vs_zh,jsd,0.014587090743909523,0.1612639936881906
item,cross_lingual,openai,MiniMax-M2.7-highspeed,1,study2_british_within,study2_item_05,en_vs_zh,tvd,0.05999999999999997,0.30000000000000004
item,cross_lingual,openai,MiniMax-M2.7-highspeed,1,study2_british_within,study2_item_05,en_vs_zh,spearman,0.8660254037844387,1.0
item,cross_lingual,openai,MiniMax-M2.7-highspeed,1,study2_british_within,study2_item_06,en_vs_zh,jsd,0.01007286462500093,0.09643129419996313
item,cross_lingual,openai,MiniMax-M2.7-highspeed,1,study2_british_within,study2_item_06,en_vs_zh,tvd,0.02000000000000001,0.18000000000000002
item,cross_lingual,openai,MiniMax-M2.7-highspeed,1,study2_british_within,study2_item_07,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,openai,MiniMax-M2.7-highspeed,1,study2_british_within,study2_item_07,en_vs_zh,tvd,0.0,0.0
item,cross_lingual,openai,MiniMax-M2.7-highspeed,1,study2_british_within,study2_item_08,en_vs_zh,jsd,0.0008788077572729327,0.08003137282435283
item,cross_lingual,openai,MiniMax-M2.7-highspeed,1,study2_british_within,study2_item_08,en_vs_zh,tvd,0.019999999999999955,0.14
item,cross_lingual,openai,MiniMax-M2.7-highspeed,1,study2_british_within,study2_item_08,en_vs_zh,spearman,0.5,1.0
item,cross_lingual,openai,MiniMax-M2.7-highspeed,1,study2_british_within,study2_item_09,en_vs_zh,jsd,0.02422021134513907,0.1669284603314645
item,cross_lingual,openai,MiniMax-M2.7-highspeed,1,study2_british_within,study2_item_09,en_vs_zh,tvd,0.09999999999999995,0.44
item,cross_lingual,openai,MiniMax-M2.7-highspeed,1,study2_british_within,study2_item_09,en_vs_zh,spearman,0.5,1.0
item,cross_lingual,openai,MiniMax-M2.7-highspeed,1,study2_british_within,study2_item_10,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,openai,MiniMax-M2.7-highspeed,1,study2_british_within,study2_item_10,en_vs_zh,tvd,0.0,0.0
item,cross_lingual,openai,MiniMax-M2.7-highspeed,1,study2_british_within,study2_item_11,en_vs_zh,jsd,0.30016305976647367,0.6417576972318915
item,cross_lingual,openai,MiniMax-M2.7-highspeed,1,study2_british_within,study2_item_11,en_vs_zh,tvd,0.62,0.8600000000000001
item,cross_lingual,openai,MiniMax-M2.7-highspeed,1,study2_british_within,study2_item_12,en_vs_zh,jsd,0.0,0.03066939825433814
item,cross_lingual,openai,MiniMax-M2.7-highspeed,1,study2_british_within,study2_item_12,en_vs_zh,tvd,0.0,0.060000000000000026
item,cross_lingual,openai,MiniMax-M2.7-highspeed,1,study2_british_within,study2_item_13,en_vs_zh,jsd,0.10409851486660159,0.3163429835539369
item,cross_lingual,openai,MiniMax-M2.7-highspeed,1,study2_british_within,study2_item_13,en_vs_zh,tvd,0.18000000000000002,0.48000000000000004
item,cross_lingual,openai,MiniMax-M2.7-highspeed,1,study2_british_within,study2_item_13,en_vs_zh,spearman,-0.07189722429381822,0.711676690232221
