scope,metric_family,provider,model,round_index,panel_id,item_id,prompt_language,metric,ci_low,ci_high
aggregate,cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,,en_vs_zh,jsd,0.02612290229409104,0.15434182235056845
aggregate,cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,,en_vs_zh,tvd,0.06019154686815744,0.2904698088172467
aggregate,cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,,en_vs_zh,top1_match,0.6,1.0
aggregate,cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,,en_vs_zh,flip_rate,0.0,0.4
aggregate,cross_lingual,gemini,gemini-2.5-flash,2,study2_british_within,,en_vs_zh,jsd,0.009668627400105323,0.21409496135351613
aggregate,cross_lingual,gemini,gemini-2.5-flash,2,study2_british_within,,en_vs_zh,tvd,0.10000000000000003,0.5
aggregate,cross_lingual,gemini,gemini-2.5-flash,2,study2_british_within,,en_vs_zh,top1_match,0.0,1.0
aggregate,cross_lingual,gemini,gemini-2.5-flash,2,study2_british_within,,en_vs_zh,flip_rate,0.0,1.0
aggregate,human_alignment,gemini,gemini-2.5-flash,1,study2_british_within,,en,jsd,0.18788493436841983,0.33806669953296137
aggregate,human_alignment,gemini,gemini-2.5-flash,1,study2_british_within,,en,tvd,0.31693979591836735,0.5265843537414965
aggregate,human_alignment,gemini,gemini-2.5-flash,1,study2_british_within,,en,top1_match,0.6,1.0
aggregate,human_alignment,gemini,gemini-2.5-flash,1,study2_british_within,,zh,jsd,0.1894605531095497,0.3316550788777056
aggregate,human_alignment,gemini,gemini-2.5-flash,1,study2_british_within,,zh,tvd,0.3111915374677003,0.511140180878553
aggregate,human_alignment,gemini,gemini-2.5-flash,1,study2_british_within,,zh,top1_match,0.5333333333333333,0.9333333333333333
aggregate,human_alignment,gemini,gemini-2.5-flash,2,study2_british_within,,en,jsd,0.23205623490895314,0.3561079720711209
aggregate,human_alignment,gemini,gemini-2.5-flash,2,study2_british_within,,en,tvd,0.36999999999999994,0.5
aggregate,human_alignment,gemini,gemini-2.5-flash,2,study2_british_within,,en,top1_match,0.0,1.0
aggregate,human_alignment,gemini,gemini-2.5-flash,2,study2_british_within,,zh,jsd,0.13535588408084331,0.39629830394265175
aggregate,human_alignment,gemini,gemini-2.5-flash,2,study2_british_within,,zh,tvd,0.24,0.6000000000000001
aggregate,human_alignment,gemini,gemini-2.5-flash,2,study2_british_within,,zh,top1_match,0.0,1.0
item,cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_01,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_01,en_vs_zh,tvd,0.0,0.0
item,cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_02,en_vs_zh,jsd,0.0827199591870645,0.35809251753712507
item,cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_02,en_vs_zh,tvd,0.24166666666666664,0.575
item,cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_02,en_vs_zh,spearman,-0.21081851067789195,0.9486832980505139
item,cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_03,en_vs_zh,jsd,0.05740477644825086,0.3076212023379653
item,cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_03,en_vs_zh,tvd,0.26287804878048787,0.6248780487804879
item,cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_03,en_vs_zh,spearman,0.5,0.5
item,cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_04,en_vs_zh,jsd,0.08132367508741117,0.3024387890410184
item,cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_04,en_vs_zh,tvd,0.19964507542147297,0.502661934338953
item,cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_04,en_vs_zh,spearman,0.13157894736842107,1.0
item,cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_05,en_vs_zh,jsd,0.0004709483767655867,0.08401887020656902
item,cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_05,en_vs_zh,tvd,0.018497864261983868,0.26578073089701
item,cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_05,en_vs_zh,spearman,0.5,1.0
item,cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_06,en_vs_zh,jsd,0.0003553375425884688,0.11076229327349627
item,cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_06,en_vs_zh,tvd,0.01673469387755107,0.2983775510204082
item,cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_07,en_vs_zh,jsd,0.0,0.051899160321315516
item,cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_07,en_vs_zh,tvd,0.0,0.09999999999999999
item,cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_07,en_vs_zh,spearman,0.8660254037844387,1.0
item,cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_08,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_08,en_vs_zh,tvd,0.0,0.0
item,cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_09,en_vs_zh,jsd,0.4674559506540893,0.8548239540128796
item,cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_09,en_vs_zh,tvd,0.7422222222222222,0.9555555555555555
item,cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_09,en_vs_zh,spearman,-0.6000000000000001,0.7378647873726218
item,cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_10,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_10,en_vs_zh,tvd,0.0,0.0
item,cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_11,en_vs_zh,jsd,0.3344312838742168,0.7086685485956511
item,cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_11,en_vs_zh,tvd,0.6479485544217687,0.8771789965986391
item,cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_11,en_vs_zh,spearman,0.0,0.7777777777777779
item,cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_12,en_vs_zh,jsd,0.1471482790307027,0.3569407422691923
item,cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_12,en_vs_zh,tvd,0.27999999999999997,0.5933333333333334
item,cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_12,en_vs_zh,spearman,0.20519567041703082,0.8944271909999157
item,cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_13,en_vs_zh,jsd,0.0,0.03066939825433814
item,cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_13,en_vs_zh,tvd,0.0,0.060000000000000026
item,cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_14,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_14,en_vs_zh,tvd,0.0,0.0
item,cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_15,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_15,en_vs_zh,tvd,0.0,0.0
