metric_family,provider,model,round_index,panel_id,item_id,item_number,human_top1_probability,consensus_bucket,prompt_language,jsd,tvd,top1_match,flip_rate,spearman,successful_samples,expected_samples,completion_rate,en_successful_samples,zh_successful_samples
cross_lingual,openai,glm-4-airx,1,study2_british_within,study2_item_01,1,0.9,high,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,glm-4-airx,1,study2_british_within,study2_item_02,2,0.3,low,en_vs_zh,0.3713588445848839,0.56,1,0.0,0.17149858514250882,50,50,1.0,50.0,50.0
cross_lingual,openai,glm-4-airx,1,study2_british_within,study2_item_03,3,0.36,medium,en_vs_zh,0.48912231321414323,0.68,0,1.0,-0.25845390105845184,50,50,1.0,50.0,50.0
cross_lingual,openai,glm-4-airx,1,study2_british_within,study2_item_04,4,0.24,low,en_vs_zh,0.7261533520592253,0.88,0,1.0,-0.5,50,50,1.0,50.0,50.0
cross_lingual,openai,glm-4-airx,1,study2_british_within,study2_item_05,5,0.64,medium,en_vs_zh,0.11892940185288958,0.4,0,1.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,glm-4-airx,1,study2_british_within,study2_item_06,6,0.44,medium,en_vs_zh,0.10495709471793863,0.21999999999999997,1,0.0,1.0,50,50,1.0,50.0,50.0
cross_lingual,openai,glm-4-airx,1,study2_british_within,study2_item_07,7,0.28,low,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,glm-4-airx,1,study2_british_within,study2_item_08,8,0.33,low,en_vs_zh,0.11055073739660551,0.24000000000000002,1,0.0,1.0,50,50,1.0,50.0,50.0
cross_lingual,openai,glm-4-airx,1,study2_british_within,study2_item_09,9,0.48,medium,en_vs_zh,0.062764486510794,0.12,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,glm-4-airx,1,study2_british_within,study2_item_10,10,0.92,high,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,glm-4-airx,1,study2_british_within,study2_item_11,11,0.56,medium,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,glm-4-airx,1,study2_british_within,study2_item_12,12,0.3,low,en_vs_zh,0.08502441288198997,0.16000000000000003,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,glm-4-airx,1,study2_british_within,study2_item_13,13,0.83,high,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,glm-4-airx,1,study2_british_within,study2_item_14,14,0.74,high,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,glm-4-airx,1,study2_british_within,study2_item_15,15,0.88,high,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,glm-4-airx,2,study2_british_within,study2_item_03,3,0.36,medium,en_vs_zh,0.48048202372184057,0.7,0,1.0,0.026315789473684213,10,10,1.0,10.0,10.0
cross_lingual,openai,glm-4-airx,2,study2_british_within,study2_item_04,4,0.24,low,en_vs_zh,0.21409496135351613,0.5,0,1.0,,10,10,1.0,10.0,10.0
cross_lingual,openai,glm-4-airx,2,study2_british_within,study2_item_05,5,0.64,medium,en_vs_zh,0.49342260576014463,0.7,0,1.0,,10,10,1.0,10.0,10.0
human_alignment,openai,glm-4-airx,1,study2_british_within,study2_item_01,1,0.9,high,en,0.051899160321315516,0.09999999999999999,1,,0.75,50,50,1.0,,
human_alignment,openai,glm-4-airx,1,study2_british_within,study2_item_01,1,0.9,high,zh,0.051899160321315516,0.09999999999999999,1,,0.75,50,50,1.0,,
human_alignment,openai,glm-4-airx,1,study2_british_within,study2_item_02,2,0.3,low,en,0.4418751865963829,0.6,1,,0.19309772958720217,50,50,1.0,,
human_alignment,openai,glm-4-airx,1,study2_british_within,study2_item_02,2,0.3,low,zh,0.5011292378824853,0.7,1,,0.020207175225248872,50,50,1.0,,
human_alignment,openai,glm-4-airx,1,study2_british_within,study2_item_03,3,0.36,medium,en,0.46497278927801067,0.62,0,,0.07541974764956669,50,50,1.0,,
human_alignment,openai,glm-4-airx,1,study2_british_within,study2_item_03,3,0.36,medium,zh,0.49900843087761587,0.7,0,,0.09761209832532441,50,50,1.0,,
human_alignment,openai,glm-4-airx,1,study2_british_within,study2_item_04,4,0.24,low,en,0.4691548059097673,0.67,0,,0.5019065221995387,50,50,1.0,,
human_alignment,openai,glm-4-airx,1,study2_british_within,study2_item_04,4,0.24,low,zh,0.3981988674601006,0.64,1,,0.718550833853145,50,50,1.0,,
human_alignment,openai,glm-4-airx,1,study2_british_within,study2_item_05,5,0.64,medium,en,0.6288365887590452,0.78,0,,0.5694649542963615,50,50,1.0,,
human_alignment,openai,glm-4-airx,1,study2_british_within,study2_item_05,5,0.64,medium,zh,0.5847167862806583,0.78,0,,0.5814536901762849,50,50,1.0,,
human_alignment,openai,glm-4-airx,1,study2_british_within,study2_item_06,6,0.44,medium,en,0.3858407765297079,0.54,1,,0.42318859392788977,50,50,1.0,,
human_alignment,openai,glm-4-airx,1,study2_british_within,study2_item_06,6,0.44,medium,zh,0.4063152300608679,0.51,1,,0.498319704704816,50,50,1.0,,
human_alignment,openai,glm-4-airx,1,study2_british_within,study2_item_07,7,0.28,low,en,0.5149577839754269,0.72,1,,0.3473009417599612,50,50,1.0,,
human_alignment,openai,glm-4-airx,1,study2_british_within,study2_item_07,7,0.28,low,zh,0.5149577839754269,0.72,1,,0.3473009417599612,50,50,1.0,,
human_alignment,openai,glm-4-airx,1,study2_british_within,study2_item_08,8,0.33,low,en,0.40524850353683706,0.5599999999999999,1,,0.5321514552916569,50,50,1.0,,
human_alignment,openai,glm-4-airx,1,study2_british_within,study2_item_08,8,0.33,low,zh,0.39527997795213143,0.59,1,,0.4642526221583814,50,50,1.0,,
human_alignment,openai,glm-4-airx,1,study2_british_within,study2_item_09,9,0.48,medium,en,0.3273236044950171,0.52,1,,0.42386058400941934,50,50,1.0,,
human_alignment,openai,glm-4-airx,1,study2_british_within,study2_item_09,9,0.48,medium,zh,0.33763534868735595,0.51,1,,0.239811396108321,50,50,1.0,,
human_alignment,openai,glm-4-airx,1,study2_british_within,study2_item_10,10,0.92,high,en,0.04120259398127841,0.07999999999999997,1,,0.6956083436402525,50,50,1.0,,
human_alignment,openai,glm-4-airx,1,study2_british_within,study2_item_10,10,0.92,high,zh,0.04120259398127841,0.07999999999999997,1,,0.6956083436402525,50,50,1.0,,
human_alignment,openai,glm-4-airx,1,study2_british_within,study2_item_11,11,0.56,medium,en,0.2653737423509377,0.44,1,,0.4952605565436486,50,50,1.0,,
human_alignment,openai,glm-4-airx,1,study2_british_within,study2_item_11,11,0.56,medium,zh,0.2653737423509377,0.44,1,,0.4952605565436486,50,50,1.0,,
human_alignment,openai,glm-4-airx,1,study2_british_within,study2_item_12,12,0.3,low,en,0.8336791289905015,0.94,0,,0.2794748989012778,50,50,1.0,,
human_alignment,openai,glm-4-airx,1,study2_british_within,study2_item_12,12,0.3,low,zh,0.6266026386885253,0.78,0,,0.45519167188843385,50,50,1.0,,
human_alignment,openai,glm-4-airx,1,study2_british_within,study2_item_13,13,0.83,high,en,0.09070410686643712,0.17,1,,0.7745966692414834,50,50,1.0,,
human_alignment,openai,glm-4-airx,1,study2_british_within,study2_item_13,13,0.83,high,zh,0.09070410686643712,0.17,1,,0.7745966692414834,50,50,1.0,,
human_alignment,openai,glm-4-airx,1,study2_british_within,study2_item_14,14,0.74,high,en,0.14406499878168008,0.26,1,,0.5720775535473553,50,50,1.0,,
human_alignment,openai,glm-4-airx,1,study2_british_within,study2_item_14,14,0.74,high,zh,0.14406499878168008,0.26,1,,0.5720775535473553,50,50,1.0,,
human_alignment,openai,glm-4-airx,1,study2_british_within,study2_item_15,15,0.88,high,en,0.062764486510794,0.12,1,,0.7905694150420948,50,50,1.0,,
human_alignment,openai,glm-4-airx,1,study2_british_within,study2_item_15,15,0.88,high,zh,0.062764486510794,0.12,1,,0.7905694150420948,50,50,1.0,,
human_alignment,openai,glm-4-airx,2,study2_british_within,study2_item_03,3,0.36,medium,en,0.599567902171777,0.73,0,,0.17747654240968078,10,10,1.0,,
human_alignment,openai,glm-4-airx,2,study2_british_within,study2_item_03,3,0.36,medium,zh,0.4845635247362681,0.63,0,,0.22976306847234007,10,10,1.0,,
human_alignment,openai,glm-4-airx,2,study2_british_within,study2_item_04,4,0.24,low,en,0.36020237597006366,0.55,0,,0.6287930025308828,10,10,1.0,,
