scope,metric_family,provider,model,round_index,panel_id,item_id,prompt_language,metric,ci_low,ci_high
aggregate,cross_lingual,openai,gpt-4o-mini,1,study2_british_within,,en_vs_zh,jsd,0.003974338024291321,0.14216949695242517
aggregate,cross_lingual,openai,gpt-4o-mini,1,study2_british_within,,en_vs_zh,tvd,0.015966666666666664,0.2373333333333333
aggregate,cross_lingual,openai,gpt-4o-mini,1,study2_british_within,,en_vs_zh,top1_match,0.6666666666666666,1.0
aggregate,cross_lingual,openai,gpt-4o-mini,1,study2_british_within,,en_vs_zh,flip_rate,0.0,0.3333333333333333
aggregate,cross_lingual,openai,gpt-4o-mini,2,study2_british_within,,en_vs_zh,jsd,0.10803154614560012,0.49342260576014463
aggregate,cross_lingual,openai,gpt-4o-mini,2,study2_british_within,,en_vs_zh,tvd,0.19999999999999998,0.7
aggregate,cross_lingual,openai,gpt-4o-mini,2,study2_british_within,,en_vs_zh,top1_match,0.0,1.0
aggregate,cross_lingual,openai,gpt-4o-mini,2,study2_british_within,,en_vs_zh,flip_rate,0.0,1.0
aggregate,human_alignment,openai,gpt-4o-mini,1,study2_british_within,,en,jsd,0.2358029068587415,0.46295047917021376
aggregate,human_alignment,openai,gpt-4o-mini,1,study2_british_within,,en,tvd,0.35666666666666663,0.6220666666666667
aggregate,human_alignment,openai,gpt-4o-mini,1,study2_british_within,,en,top1_match,0.5333333333333333,0.9333333333333333
aggregate,human_alignment,openai,gpt-4o-mini,1,study2_british_within,,zh,jsd,0.24030379806862265,0.47709841777782386
aggregate,human_alignment,openai,gpt-4o-mini,1,study2_british_within,,zh,tvd,0.3653333333333334,0.6373833333333334
aggregate,human_alignment,openai,gpt-4o-mini,1,study2_british_within,,zh,top1_match,0.6,1.0
aggregate,human_alignment,openai,gpt-4o-mini,2,study2_british_within,,en,jsd,0.4142747027428539,0.5260231315791053
aggregate,human_alignment,openai,gpt-4o-mini,2,study2_british_within,,en,tvd,0.5499999999999999,0.73
aggregate,human_alignment,openai,gpt-4o-mini,2,study2_british_within,,en,top1_match,0.0,0.0
aggregate,human_alignment,openai,gpt-4o-mini,2,study2_british_within,,zh,jsd,0.45253663199108374,0.49342260576014463
aggregate,human_alignment,openai,gpt-4o-mini,2,study2_british_within,,zh,tvd,0.66,0.7
aggregate,human_alignment,openai,gpt-4o-mini,2,study2_british_within,,zh,top1_match,0.0,1.0
item,cross_lingual,openai,gpt-4o-mini,1,study2_british_within,study2_item_01,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,openai,gpt-4o-mini,1,study2_british_within,study2_item_01,en_vs_zh,tvd,0.0,0.0
item,cross_lingual,openai,gpt-4o-mini,1,study2_british_within,study2_item_02,en_vs_zh,jsd,0.3015558669343677,0.5605218825340386
item,cross_lingual,openai,gpt-4o-mini,1,study2_british_within,study2_item_02,en_vs_zh,tvd,0.48,0.76
item,cross_lingual,openai,gpt-4o-mini,1,study2_british_within,study2_item_02,en_vs_zh,spearman,-0.5,0.5
