scope,metric_family,provider,model,round_index,panel_id,item_id,prompt_language,metric,ci_low,ci_high
aggregate,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,,en_vs_zh,jsd,0.02940340137136088,0.21926390065575233
aggregate,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,,en_vs_zh,tvd,0.05856666666666666,0.32669999999999993
aggregate,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,,en_vs_zh,top1_match,0.6,1.0
aggregate,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,,en_vs_zh,flip_rate,0.0,0.4
aggregate,cross_lingual,openai,gpt-5.4-mini,2,study2_british_within,,en_vs_zh,jsd,0.0,0.3440292260618126
aggregate,cross_lingual,openai,gpt-5.4-mini,2,study2_british_within,,en_vs_zh,tvd,0.0,0.5
aggregate,cross_lingual,openai,gpt-5.4-mini,2,study2_british_within,,en_vs_zh,top1_match,0.0,1.0
aggregate,cross_lingual,openai,gpt-5.4-mini,2,study2_british_within,,en_vs_zh,flip_rate,0.0,1.0
aggregate,human_alignment,openai,gpt-5.4-mini,1,study2_british_within,,en,jsd,0.20881549304859306,0.4105297652638548
aggregate,human_alignment,openai,gpt-5.4-mini,1,study2_british_within,,en,tvd,0.33459999999999995,0.5774499999999999
aggregate,human_alignment,openai,gpt-5.4-mini,1,study2_british_within,,en,top1_match,0.6,1.0
aggregate,human_alignment,openai,gpt-5.4-mini,1,study2_british_within,,zh,jsd,0.1929521018801208,0.37007545671686465
aggregate,human_alignment,openai,gpt-5.4-mini,1,study2_british_within,,zh,tvd,0.31400000000000006,0.5393666666666665
aggregate,human_alignment,openai,gpt-5.4-mini,1,study2_british_within,,zh,top1_match,0.5333333333333333,0.9333333333333333
aggregate,human_alignment,openai,gpt-5.4-mini,2,study2_british_within,,en,jsd,0.3655462522591036,0.6790537782099856
aggregate,human_alignment,openai,gpt-5.4-mini,2,study2_british_within,,en,tvd,0.5499999999999999,0.82
aggregate,human_alignment,openai,gpt-5.4-mini,2,study2_british_within,,en,top1_match,0.0,1.0
aggregate,human_alignment,openai,gpt-5.4-mini,2,study2_british_within,,zh,jsd,0.3898260625419147,0.6852956847430484
aggregate,human_alignment,openai,gpt-5.4-mini,2,study2_british_within,,zh,tvd,0.56,0.85
aggregate,human_alignment,openai,gpt-5.4-mini,2,study2_british_within,,zh,top1_match,0.0,1.0
item,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_01,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_01,en_vs_zh,tvd,0.0,0.0
item,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_02,en_vs_zh,jsd,0.23645279766002797,0.47262797611078305
item,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_02,en_vs_zh,tvd,0.4,0.6799999999999999
item,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_02,en_vs_zh,spearman,0.0,0.8660254037844387
item,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_03,en_vs_zh,jsd,0.5261046091853976,0.8039396062465607
item,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_03,en_vs_zh,tvd,0.7,0.92
item,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_03,en_vs_zh,spearman,-0.6078072230809733,0.05521576303742327
item,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_04,en_vs_zh,jsd,0.26301568036677847,0.5314313415654409
item,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_04,en_vs_zh,tvd,0.44,0.74
item,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_04,en_vs_zh,spearman,-0.34524273300791875,0.870388279778489
item,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_05,en_vs_zh,jsd,0.0003653255622628766,0.06510305830437346
item,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_05,en_vs_zh,tvd,0.02,0.23999999999999996
item,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_05,en_vs_zh,spearman,0.5,1.0
item,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_06,en_vs_zh,jsd,0.0,0.051899160321315516
item,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_06,en_vs_zh,tvd,0.0,0.09999999999999999
item,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_07,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_07,en_vs_zh,tvd,0.0,0.0
item,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_08,en_vs_zh,jsd,0.0,0.03066939825433814
item,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_08,en_vs_zh,tvd,0.0,0.060000000000000026
item,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_09,en_vs_zh,jsd,0.2412359861052775,0.4699784936430798
item,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_09,en_vs_zh,tvd,0.38,0.6599999999999999
item,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_09,en_vs_zh,spearman,-0.2660662432388705,0.3478626213914691
item,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_10,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_10,en_vs_zh,tvd,0.0,0.0
item,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_11,en_vs_zh,jsd,0.05971846109105654,0.29789624466849
item,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_11,en_vs_zh,tvd,0.24,0.52
item,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_12,en_vs_zh,jsd,0.0,0.08515101205017205
item,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_12,en_vs_zh,tvd,0.0,0.16000000000000003
item,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_12,en_vs_zh,spearman,0.5,1.0
item,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_13,en_vs_zh,jsd,0.5440893877911364,0.836300090691978
item,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_13,en_vs_zh,tvd,0.74,0.94
item,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_13,en_vs_zh,spearman,-0.5,-0.5
item,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_14,en_vs_zh,jsd,0.0,0.051899160321315516
item,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_14,en_vs_zh,tvd,0.0,0.09999999999999999
item,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_14,en_vs_zh,spearman,0.8660254037844387,1.0
