scope,metric_family,provider,model,round_index,panel_id,item_id,prompt_language,metric,ci_low,ci_high
aggregate,cross_lingual,openai,kimi-for-coding,1,study2_british_within,,en_vs_zh,jsd,0.023797918234782937,0.15571639969911805
aggregate,cross_lingual,openai,kimi-for-coding,1,study2_british_within,,en_vs_zh,tvd,0.048,0.2747
aggregate,cross_lingual,openai,kimi-for-coding,1,study2_british_within,,en_vs_zh,top1_match,0.6666666666666666,1.0
aggregate,cross_lingual,openai,kimi-for-coding,1,study2_british_within,,en_vs_zh,flip_rate,0.0,0.3333333333333333
aggregate,cross_lingual,openai,kimi-for-coding,2,study2_british_within,,en_vs_zh,jsd,0.0,0.9
aggregate,cross_lingual,openai,kimi-for-coding,2,study2_british_within,,en_vs_zh,tvd,0.0,0.9
aggregate,cross_lingual,openai,kimi-for-coding,2,study2_british_within,,en_vs_zh,top1_match,0.0,1.0
aggregate,cross_lingual,openai,kimi-for-coding,2,study2_british_within,,en_vs_zh,flip_rate,0.0,1.0
aggregate,human_alignment,openai,kimi-for-coding,1,study2_british_within,,en,jsd,0.2379957673277503,0.4954495508351291
aggregate,human_alignment,openai,kimi-for-coding,1,study2_british_within,,en,tvd,0.35998333333333327,0.6466833333333334
aggregate,human_alignment,openai,kimi-for-coding,1,study2_british_within,,en,top1_match,0.6666666666666666,1.0
aggregate,human_alignment,openai,kimi-for-coding,1,study2_british_within,,zh,jsd,0.2199019802082684,0.44388532045748197
aggregate,human_alignment,openai,kimi-for-coding,1,study2_british_within,,zh,tvd,0.35131666666666667,0.6186999999999999
aggregate,human_alignment,openai,kimi-for-coding,1,study2_british_within,,zh,top1_match,0.4666666666666667,0.9333333333333333
aggregate,human_alignment,openai,kimi-for-coding,2,study2_british_within,,en,jsd,0.2653737423509377,0.31784167304559335
aggregate,human_alignment,openai,kimi-for-coding,2,study2_british_within,,en,tvd,0.44,0.5
aggregate,human_alignment,openai,kimi-for-coding,2,study2_british_within,,en,top1_match,1.0,1.0
aggregate,human_alignment,openai,kimi-for-coding,2,study2_british_within,,zh,jsd,0.2653737423509377,0.9221306414877707
aggregate,human_alignment,openai,kimi-for-coding,2,study2_british_within,,zh,tvd,0.44,0.97
aggregate,human_alignment,openai,kimi-for-coding,2,study2_british_within,,zh,top1_match,0.0,1.0
item,cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_01,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_01,en_vs_zh,tvd,0.0,0.0
