metric_family,provider,model,round_index,panel_id,item_id,item_number,human_top1_probability,consensus_bucket,prompt_language,jsd,tvd,top1_match,flip_rate,spearman,successful_samples,expected_samples,completion_rate,en_successful_samples,zh_successful_samples
cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_01,1,0.9,high,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_02,2,0.3,low,en_vs_zh,0.04120259398127841,0.07999999999999999,1,0.0,1.0,50,50,1.0,50.0,50.0
cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_03,3,0.36,medium,en_vs_zh,0.1821188257783191,0.31999999999999995,1,0.0,0.6956083436402525,50,50,1.0,50.0,50.0
cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_04,4,0.24,low,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_05,5,0.64,medium,en_vs_zh,0.19872028417422838,0.4,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_06,6,0.44,medium,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_07,7,0.28,low,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_08,8,0.33,low,en_vs_zh,0.05984310868335106,0.16000000000000003,1,0.0,1.0,50,50,1.0,50.0,50.0
cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_09,9,0.48,medium,en_vs_zh,0.253184764193558,0.5599999999999999,0,1.0,0.5,50,50,1.0,50.0,50.0
cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_10,10,0.92,high,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_11,11,0.56,medium,en_vs_zh,0.48582653878067766,0.76,0,1.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_12,12,0.3,low,en_vs_zh,0.07380424507879543,0.14,1,0.0,,50,50,1.0,50.0,50.0
